original,translation
Удаляются все сохранения для игры,Eliminando todas las partidas guardadas del juego
Удаляются сохранения...,Eliminando datos de guardado...
"UID: {}, Ник: {}","UID: {}, Apodo: {}"
Удалённые,Eliminados
Удачный экспорт,Exportación correcta
Уделение старого тикета...,Eliminando ticket antiguo...
Упаковка каталога в RomFS,Empaquetando directorio en RomFS
Упрощенный китайский,Chino simplificado
Уровень заряда батареи         : {},Nivel de batería                      : {}
Успешно разобран как PFS0 файл,Analizado correctamente como archivo PFS0
Устанавливается {},Instalando {}
Установить как аватар...,Establecer como avatar...
Установка,Instalación
URL для проверки обновлений,URL para comprobar actualizaciones
Установка анлокера...,Instalando unlocker...
Установка завершена,Instalación completada
Установка игр (NAND),Instalar juegos (NAND)
Установка игр (SD Card),Instalación de juegos (Tarjeta SD)
Установка игры завершена,Instalación del juego completada
Установка обновлений игр,Instalar actualizaciones de juegos
Установка прервана,Instalación interrumpida
Установка с картриджа,Instalar desde cartucho
Установка тайтлов ({}/{}),Instalando títulos ({}/{})
Установка через DBIbackend,Instalar mediante DBIbackend
USB Соединение,Conexión USB
Установка ярлыка...,Instalando acceso directo...
Установлен,Instalado
Установленные,Instalados
Установленные homebrew,Homebrew instalado
Установленные homebrew ({}),Homebrew instalado ({})
Установленные игры,Juegos instalados
Установленные тикеты,Tickets instalados
Установленные тикеты ({}),Tickets instalados ({})
Файл повреждён и не может быть установлен. Не найдена сигнатура HEAD,El archivo está dañado y no se puede instalar. Firma HEAD no encontrada
Файл повреждён и не может быть установлен. Не найдена сигнатура HFS0 в разделе root,El archivo está dañado y no se puede instalar. Firma HFS0 no encontrada en la partición root
Wireless LAN MAC адрес : {:02X}:{:02X}:{:02X}:{:02X}:{:02X}:{:02X},Dirección MAC de LAN inalámbrica : {:02X}:{:02X}:{:02X}:{:02X}:{:02X}:{:02X}
Файл повреждён и не может быть установлен. Не найдена сигнатура HFS0 в разделе secure,El archivo está dañado y no se puede instalar. Firma HFS0 no encontrada en la partición secure
Файл повреждён и не может быть установлен. Не найдена сигнатура PFS0,El archivo está dañado y no se puede instalar. No se ha encontrado la firma PFS0
Файл слишком большой для хранилища,El archivo es demasiado grande para el almacenamiento
Файл: {},Archivo: {}
Фиксация ФС...,Confirmación del sistema de archivos...
Финальный размер: {},Tamaño final: {}
Формирование списка...,Generando lista...
Форсированный язык    : {},Idioma forzado    : {}
Форсированный язык    : {} ({}),Idioma forzado    : {} ({})
  Автоопределение,  Detección automática
Форсировано вклчение USB 3.0 : {},Forzar USB 3.0 habilitado      : {}
Форсировать UTF-8,Forzar UTF-8
Форсировать язык,Forzar idioma
Французский,Francés
"Х:{}, Т:{}, РЦ:{}","H:{}, T:{}, R:{}"
Хранилища MTP,Almacenamiento MTP
Хранилище только для чтения,Almacenamiento de solo lectura
Хэш версии              : {},Hash de la versión    : {}
Целевая запись о контенте не найдена,Registro de contenido de destino no encontrado
ЧАСТЬ КОНТЕНТА ОТСУТСТВУЕТ. ИГРА НЕ БУДЕТ РАБОТАТЬ,FALTA PARTE DEL CONTENIDO. EL JUEGO NO FUNCIONARÁ
Число транзисторов: {:>3},Número de transistores: {:>3}
Число уникальных сыграных игр : {},Número de juegos únicos jugados : {}
Число ходов:        {:>3},Número de movimientos:  {:>3}
Читать дату файлов,Leer fecha de archivo
Чтение каталога...,Leyendo directorio...
Чтение списка файлов...,Leyendo lista de archivos...
Что-то плохое грядёт,Algo malo se acerca
Что-то пошло не так. Пропускаем оставшийся файл,Algo salió mal. Saltando el archivo restante
"Чтобы вернуться, нажмите B",Pulsa B para volver
Шадок у Гиби,Shadok en Gibi
Шифрование секции ,Cifrado de sección
Экзосфера очищает CAL0       : {},La exosfera limpia CAL0        : {}
Экран                  : ({:08X}) {},Pantalla                         : ({:08X}) {}
Экспорт SDK,Exportación de SDK
Экспортировать,Exportar
Экспортировать SDK,Exportar SDK
Язык                    : {},Idioma                : {}
Январь,Enero
Японский,Japonés
Ярлык   : ,Acceso directo   : 
Ярлык для DBI,Acceso directo para DBI
да,sí
не является LFS папкой,no es una carpeta LFS
не является LFS папкой игры,no es una carpeta de juego LFS
нет,no
"ZL/ZR - смена даты, Y - период","ZL/ZR - cambiar fecha, Y - periodo"
"Получено: {}, (скорость не определена)","Recibido: {}, (velocidad no definida)"
Игры добавлены в список исключений,Juegos añadidos a la lista de exclusión
Новых игр в список исключений добавлено не было,No se han añadido nuevos juegos a la lista de exclusión
"Интервал автобекапа сейвов, дни","Intervalo de copia de seguridad automática de guardados, días"
Просмотр МТР устройства [{}],Viendo dispositivo MTP [{}]
Просмотр USB диска [{}],Viendo unidad USB [{}]
Заряд батареи (сырое значение) : {},Carga de batería (valor bruto) : {}
ru,ru
Конфигурация зарядки             : {},Configuración de carga                   : {}
Режим Hi-Z включён               : {},Modo Hi-Z activado                       : {}
Зарядка батареи включена         : {},Carga de batería activada                : {}
Маршрут электропитания           : {},Ruta de alimentación                     : {}
Напряжение источника             : {} mV,Voltaje de la fuente                     : {} mV
Ток источника                    : {} mA,Corriente de la fuente                   : {} mA
Быстрая зарядка разрешена        : {},Carga rápida permitida                   : {}
[CRC ОШИБКА ФАЙЛА],[ERROR DE CRC DE ARCHIVO]
Целевая прошивка             : {}.{}.{},Firmware objetivo              : {}.{}.{}
Поддерживаемая версия HOS    : {},Versión de HOS soportada       : {}
Будет скачана и установлена прошивка системы из файла {}.\n\nНажимте (+) для продолжения\nЛюбую другую кнопку для отмены,El firmware del sistema se descargará e instalará desde el archivo {}.\n\nPulsa (+) para continuar\nCualquier otro botón para cancelar
Распаковка архива не удалась,La extracción del archivo falló
Сканирование архива не удалось,El escaneo del archivo falló
Установить все обновления из этой папки,Instalar todas las actualizaciones de esta carpeta
Япония,Japón
Русский,Ruso
Февраль,Febrero
Октябрь,Octubre
[HASH MISMATCH: GC ➡ eShop],[HASH MISMATCH: GC ➡ eShop]
Ноябрь,Noviembre
 {} минут, {} minutos
Игрок,Jugador
Время,Tiempo
Язык    : ,Idioma  : 
Контент,Contenido
[HASH: OK],[HASH: OK]
Красная,Roja
Путь    : ,Ruta :
[HASH MISMATCH: Неисправимо],[DESAJUSTE DE HASH: Irrecuperable]
[ПРЕД],[ANT]
Альбом,Álbum
Выход,Salir
и т.д...,etc...
{} бекап,{} copia de seguridad
874,874
Пишется тело: {}/{}MB \r,Escribiendo cuerpo: {}/{}MB \r
Пишется скриншот\n,Escribiendo captura de pantalla\n
Пишется таблица хешей\n,Escribiendo tabla hash\n
Пишется подпись видео\n,Escribiendo firma de video\n
Операция завершена\n,Operación completada\n
Предел входного тока (буст)      : {} mA,Límite de corriente de entrada (boost)   : {} mA
Предел тока быстрой зарядки      : {} mA,Límite de corriente de carga rápida      : {} mA
Напряжение батареи               : {} mV,Voltaje de la batería                    : {} mV
Контроллер источника получен     : {},Controlador de fuente recibido           : {}
OTG Запрошен                     : {},OTG solicitado                           : {}
"Будет скачана и установлена прошивка системы из файла {}.\n\nВНИМАНИЕ!!! Похоже, эта версия не поддерживается текущей атмосферой.\n\nНажимте (+) для продолжения\nЛюбую другую кнопку для отмены",El firmware del sistema se descargará e instalará desde el archivo {}.\n\n¡¡¡ATENCIÓN!!! Parece que esta versión no es compatible con la versión actual de Atmosphere.\n\nPulsa (+) para continuar\nPulsa cualquier otro botón para cancelar
Копирование файла не удалось,Error al copiar el archivo
Daybreak.nro не найден,Daybreak.nro no encontrado
Изображение добавлено в альбом,Imagen añadida al álbum
Ошибка добавления изобржения в альбом: {},Error al añadir la imagen al álbum: {}
Добавить в альбом,Añadir al álbum
Анализ mp4 файла,Analizando archivo mp4
Длительность: {},Duración: {}
ОШИБКА! Файл не содержит один видео трек,¡ERROR! El archivo no contiene una pista de video
ОШИБКА! Файл не содержит один аудио трек,¡ERROR! El archivo no contiene una pista de audio
ОШИБКА! У видео трека неподдерживаемый кодек,¡ERROR! La pista de vídeo tiene un códec no compatible
ОШИБКА! У аудио трека неподдерживаемый кодек,¡ERROR! La pista de audio tiene un códec no compatible
ОШИБКА! Аудио трек не стерео,¡ERROR! La pista de audio no es estéreo
[{}] Общий тикет для {},[{}] Ticket común para {}
ОШИБКА! У аудио трека неподходящая частота дискретизации,¡ERROR! La pista de audio tiene una frecuencia de muestreo inadecuada
ОШИБКА! У видео трека неподходящая ширина,¡ERROR! La pista de video tiene un ancho inadecuado
ОШИБКА! У видео трека неподходящая высота,¡ERROR! La pista de video tiene una altura inadecuada
ВНИМАНИЕ! Возможно видео поток содержит B-Frames. Файл может не воспроизводиться,¡ATENCIÓN! El flujo de video podría contener B-Frames. Es posible que el archivo no se reproduzca
"Похоже, это не MP4 файл",Parece que este no es un archivo MP4
Открыть как RomFS,Abrir como RomFS
\x1b[31;1mГ\x1b[37;1m,\x1b[31;1mГ\x1b[37;1m
\x1b[32;1mШ\x1b[37;1m,\x1b[32;1mШ\x1b[37;1m
Ваша SD карта является подделкой. Рекомендуется заменить SD карту на проверенную.,Tu tarjeta SD es falsa. Se recomienda reemplazar la tarjeta SD por una verificada.
[{}] Персональный тикет для {},[{}] Ticket personal para {}
Кажется ваша SD карта является подделкой.\n\nВозможны проблемы с установкой игр.\nВ этом случае рекомендуется заменить SD карту на проверенную.,"Parece que tu tarjeta SD es falsa.\n\nPueden surgir problemas con la instalación de juegos.\nEn este caso, se recomienda reemplazar la tarjeta SD por una verificada."
Информация о SD карте,Información de la tarjeta SD
Производитель    : {:s} ({:02X}),Fabricante            : {:s} ({:02X})
OEM ID           : {:s} ({:s}),OEM ID                : {:s} ({:s})
Имя продукта     : {:s},Nombre del producto   : {:s}
Ревизия продукта : {:s},Revisión del producto : {:s}
Серийный номер   : {:s},Número de serie       : {:s}
[ПОДПИСЬ: DBI],[FIRMA: DBI]
.    Время игры    \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,.    Tiempo de juego    \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
"ZL/ZR смена даты, Y период, X сортировка, (+) выбрать пользователя","ZL/ZR cambiar fecha, Y período, X ordenar, (+) seleccionar usuario"
[{}МБ] {}МБ из {}МБ ({:.2f} МБ/сек)\x1b[0K\r,[{}MB] {}MB de {}MB ({:.2f} MB/seg)\x1b[0K\r
"X выбор, Y обратить выбор, (+) меню, R3 сортировка, L3 запуск","X seleccionar, Y invertir selección, (+) menú, R3 ordenar, L3 iniciar"
Создать все известные ({}),Crear todos los conocidos ({})
"X выбор, Y обратить выбор, (+) меню, L3 запуск","X seleccionar, Y invertir selección, (+) menú, L3 iniciar"
"DPAD или стики для перемещения, (+) Настройки","DPAD o sticks para moverse, (+) Ajustes"
Просмотр HTTP/FTP/Github сервера...,Explorando servidor HTTP/FTP/Github...
"X выбор, Y обратить выбор, (+) меню, R3 сортировка","X seleccionar, Y invertir selección, (+) menú, R3 ordenar"
"X выбор, Y обр. выбор, (+) меню","X seleccionar, Y invertir selección, (+) menú"
"X выбор, Y обратить выбор, A открыть, (-) 2ая панель, (+) меню","X seleccionar, Y invertir selección, A abrir, (-) 2º panel, (+) menú"
"X выбор, Y обр. выбор, ⬅/➡ смена панели, (-) закрыть, (+) меню","X seleccionar, Y deseleccionar, ⬅/➡ cambiar panel, (-) cerrar, (+) menú"
[ДЕЛЬТА ФРАГМЕНТ НЕ НУЖЕН],[FRAGMENTO DELTA NO NECESARIO]
[КОНТЕНТ ОТСУТСТВУЕТ],[CONTENIDO AUSENTE]
[НЕ СОЗДАТЬ ПЛЕЙСХОЛДЕР],[NO CREAR MARCADOR]
[НЕДОСТАТОЧНО МЕСТА],[NO HAY SUFICIENTE ESPACIO]
  Кодировка...,  Codificando...
[НЕИЗВЕСТНОЕ СЖАТИЕ],[COMPRESIÓN DESCONOCIDA]
[ОТСУТСТВУЕТ],[FALTA]
[ОШБК],[ERROR]
[ОШИБКА NCA MAGIC],[ERROR NCA MAGIC]
[ОШИБКА ЗАПИСИ В ПЛЕЙСХОЛДЕР],[ERROR DE ESCRITURA EN MARCADOR]
[ОШИБКА РАСПАКОВКИ ZSTD: {}],[ERROR DE DESCOMPRESIÓN ZSTD: {}]
[ОШИБКА РАСПАКОВКИ],[ERROR DE EXTRACCIÓN]
[ОШИБКА],[ERROR]
[ОШИБКА] Отсутствует URL списка обновлений,[ERROR] Falta la URL de la lista de actualizaciones
[ПЕРЕДАЧА OK],[TRANSFERENCIA OK]
  Применить,  Aplicar
[ПЕРЕДАЧА ПРЕРВАНА],[TRANSFERENCIA INTERRUMPIDA]
[ПОВРЕЖДЁННЫЙ NCA],[NCA CORRUPTO]
[ПОДПИСЬ: OK],[FIRMA: OK]
[ПОДПИСЬ: XCI➡NSP],[FIRMA: XCI➡NSP]
[ПОДПИСЬ: Поддельная],[FIRMA: Falsa]
[СТАРАЯ ПРОШИВКА],[FIRMWARE ANTIGUO]
[ТРЕБУЕТСЯ РЕЖИМ ТАЙТЛА],[MODO TÍTULO REQUERIDO]
[ФАЙЛ ПОВРЕЖДЁН],[ARCHIVO DAÑADO]
[ХЕШ ИСПРАВЛЕН],[HASH CORREGIDO]
  Редактирование,  Editando
[ХЕШ НЕ СОВПАДАЕТ],[HASH NO COINCIDE]
\nНачало обработки dlc {}: {:016X},\nIniciando procesamiento de DLC {}: {:016X}
\nНачало обработки программы {},\nIniciando procesamiento de la aplicación {}
\nНачало создания Data.nca,\nIniciando creación de Data.nca
\nНачало создания Meta.nca,\nIniciando creación de Meta.nca
\nОшибка USB обмена,\nError de transferencia USB
\nСборка PFS0,\nConstruyendo PFS0
\nСборка RomFS,\nConstruyendo RomFS
\nСекция 0,\nSección 0
\nСекция 1,\nSección 1
 (по времени игры), (por tiempo de juego)
\nСекция 2,\nSección 2
\nСоздан NSP: {},\nNSP creado: {}
\nШифрование NCA,\nCifrado NCA
{:04d} {} {:02d}. Всего: {} час,{:04d} {} {:02d}. Total: {} hrs
{:04d} {} {:02d}. Всего: {} часа,{:04d} {} {:02d}. Total: {} horas
{:04d} {} {:02d}. Всего: {} часов,{:04d} {} {:02d}. Total: {} horas
{:4d} {}. Всего: {} час,{:4d} {}. Total: {} hrs
{:4d} {}. Всего: {} часа,{:4d} {}. Total: {} horas
{:4d} {}. Всего: {} часов,{:4d} {}. Total: {} horas
 (по названию игры), (por nombre del juego)
{:4d}. Всего: {} час,{:4d}. Total: {} hrs
{:4d}. Всего: {} часа,{:4d}. Total: {} horas
{:4d}. Всего: {} часов,{:4d}. Total: {} horas
{:>3} {}{:<50}\x1b[37;1m {:>10},{:>3} {}{:<50}\x1b[37;1m {:>10}
{:>6} объектов обработано. {:>5} записей найдено...\r,{:>6} objetos procesados. {:>5} entradas encontradas...\r
{:>6}/{}kB уже скачано...\r,{:>6}/{}kB ya descargado...\r
{} cохранение,{} guardado
{} cохранений,{} guardado
{} cохранения,{} datos de guardado
 (по числу запусков), (por número de ejecuciones)
{} бекапа,{} copia de seguridad
{} бекапов,{} copias de seguridad
{} записей ({}),{} entradas ({})
{} записи ({}),{} entradas ({})
{} запись ({}),{} entrada ({})
{} игр ({}),{} juegos ({})
{} игра ({}),{} juego ({})
{} игры ({}),{} juegos ({})
{} сохранение,{} guardado
{} сохранений,{} guardados
{} сохранения,{} datos de guardado
{} тикет,{} ticket
{} тикета,{} tickets
{} тикетов,{} tickets
{}-{} FW:{}{} SDK:{},{}-{} FW:{}{} SDK:{}
"{}/{} MB (Ср: {:.1f} MB/sec, Тек: {:.1f} MB/sec) Ост. {:02d}:{:02d}      \r","{}/{} MB (Prom: {:.1f} MB/s, Act: {:.1f} MB/s) Rest. {:02d}:{:02d}      \r"
"{}/{} МБ, {:.2f} МБ/сек","{}/{} MB, {:.2f} MB/seg"
{}: {} потерянная запись,{}: {} entrada huérfana
{}: {} потерянных записей,{}: {} entradas perdidas
{}: {} потерянных записи,{}: {} entradas perdidas
     {:<10} Шифрование: {} Размер установки: {}{:>10},     {:<10} Cifrado: {} Tamaño de instalación: {}{:>10}
 [НЕ МОГУ ОТКРЫТЬ ФАЙЛ], [NO SE PUEDE ABRIR EL ARCHIVO]
{}: {}/{} ({:.2f} МБ/сек),{}: {}/{} ({:.2f} MB/seg)
{}: {}/{} ({}%) ({:.2f} МБ/сек),{}: {}/{} ({}%) ({:.2f} MB/s)
{}: пропускается {}/{} ({:.2f} МБ/сек),{}: omitiendo {}/{} ({:.2f} MB/seg)
"{}\n\nВосстановление бекапа не удалось\n\nНажмите A - прервать, другая кнопка - продолжить","{}\n\nError al restaurar la copia de seguridad\n\nPulsa A para cancelar, otro botón para continuar"
{}МБ из {}МБ ({:.2f} МБ/сек)\x1b[0K\r,{}MB de {}MB ({:.2f} MB/seg)\x1b[0K\r
Ёмкость с завода    : {} mAh,Capacidad de fábrica : {} mAh
АВТО,AUTO
Аватар установлен,Avatar establecido
Август,Agosto
Австралия,Australia
Автозапуск FTP: ,Inicio automático de FTP: 
Автозапуск MTP,Inicio automático de MTP
Автозапуск списка homebrew,Inicio automático de lista homebrew
Автоповтор кнопок при удержании,Repetición automática de botones al mantener
Автор   : ,Autor   : 
Агрументы для ярлыка,Argumentos del acceso directo
Адрес FTP сервера: {},Dirección del servidor FTP: {}
Адрес HTTP сервера: {},Dirección del servidor HTTP: {}
 {:>5} часа, {:>5} horas
Альбом (0°),Álbum (0°)
Американский английский,Inglés americano
Апрель,Abril
База этой игры не самодостаточна. Не забудьте установить обновление,La base de este juego no es autosuficiente. No olvides instalar la actualización
Базовое хранилище: ,Almacenamiento base: 
Бекапы,Copias de seguridad
Бекапы сохранений ({}),Copias de seguridad de datos de guardado ({})
Британский английский,Inglés británico
 {:>5} часов, {:>5} horas
В альбоме найден {} объект,{} objeto encontrado en el álbum
В альбоме найдено {} объекта,Se encontraron {} objetos en el álbum
В альбоме найдено {} объектов,{} objetos encontrados en el álbum
В альбоме отсутствуют объекты,No hay objetos en el álbum
В файле /switch/prod.keys отсутствуют необходимые ключи.\n\nЧасть функций программы будет недоступна.\n\nПерегрузитесь в Hekate и используйте Lockpick_RCM.bin пейлоад\nдля дампа ключей из SysNAND.,Faltan las claves necesarias en el archivo /switch/prod.keys.\n\nAlgunas funciones de la aplicación no estarán disponibles.\n\nReinicia en Hekate y usa el payload Lockpick_RCM.bin\npara volcar las claves de SysNAND.
ВНИМАНИЕ ,ATENCIÓN 
ВНИМАНИЕ! ,¡ATENCIÓN! 
ВНИМАНИЕ! Тайтл {:016X} не установлен,¡ATENCIÓN! El título {:016X} no está instalado
ВНИМАНИЕ! Установленная версия ({}) не совпадает с желаемой ({}),¡ATENCIÓN! La versión instalada ({}) no coincide con la deseada ({})
ВО ВРЕМЯ ПЕРЕДАЧИ ФАЙЛА НАЙДЕНЫ ОШИБКИ. УСТАНОВКА ПРЕРВАНА,SE ENCONTRARON ERRORES DURANTE LA TRANSFERENCIA DE ARCHIVOS. INSTALACIÓN CANCELADA
 {} в чёрном списке., {} en la lista negra.
Введите URL сервера (HTTP или (S)FTP),Introduce la URL del servidor (HTTP o (S)FTP)
Введите агрументы для ярлыка или оставьте пустым,Introduce argumentos para el acceso directo o déjalo vacío
Введите желаемый номер страницы,Introduce el número de página deseado
Введите новое имя,Introduce un nuevo nombre
Введите новое имя каталога,Introduce el nuevo nombre del directorio
Введите новое имя файла,Introduce el nuevo nombre del archivo
Введите номер DLC,Introduce el número de DLC
Версия  : ,Versión : 
Версия {} [v{}],Versión {} [v{}]
Версия атмосферы             : {}.{}.{},Versión de Atmosphere          : {}.{}.{}
Версия прошивки         : {}.{}.{}-{}.{},Versión de firmware   : {}.{}.{}-{}.{}
Вместо пользователя {} использовать:,Usar en lugar del usuario {}:
Внимание! ,¡Atención! 
Внимание!\nНекоторые файлы были заблокированы и поэтому пропущены.,¡Atención!\nAlgunos archivos estaban bloqueados y por lo tanto se omitieron.
Во время разбора\n\n{}\n\nвозникла следующая ошибка:\n\n{},Durante el análisis de\n\n{}\n\nocurrió el siguiente error:\n\n{}
Во время установки тикетов были ошибки. Проверьте наличие ES сигпатчей,Se produjeron errores durante la instalación de tickets. Compruebe la presencia de parches de firma ES
Во время экспорта были ошибки,Se produjeron errores durante la exportación
Возраст батареи                  : {}%,Antigüedad de la batería                 : {}%
Возраст батареи                : {},Antigüedad de la batería              : {}
Возраст батареи                : {}%,Antigüedad de la batería                : {}%
 {} минута, {} minuto
Возрастной рейтинг,Clasificación por edad
Восстановить,Restaurar
Восстановить бекап...,Restaurar copia de seguridad...
Восстановить для...,Restaurar para...
Восстановить как бекап сохранения,Restaurar como copia de seguridad de guardado
Восстановление бекапа,Restaurando copia de seguridad
Восстановление не удалось,Recuperación fallida
Восстановление успешно,Restauración exitosa
Восстановление: {},Restaurando: {}
 {} минуты, {} minutos
Время гашения экрана в секундах,Tiempo de espera de atenuación de pantalla en segundos
Время игры: {:02}:{:02}:{:02},Tiempo de juego: {:02}:{:02}:{:02}
Время передачи {:d}:{:02d}:{:02d},Tiempo de transferencia {:d}:{:02d}:{:02d}
Все игровые сессии,Todas las sesiones de juego
Все игроки,Todos los jugadores
Все объекты,Todos los objetos
Все файлы в порядке,Todos los archivos están bien
Всего {} байт получен,{} bytes recibidos
Всего {} байт послан,{} bytes enviados
Всего {} байта получено,{} bytes recibidos en total
 Да, Sí
Всего {} байта послано,{} bytes enviados
Всего {} байтов получено,{} bytes recibidos en total
Всего {} байтов послано,{} bytes enviados
Всего записей: {},Total de entradas: {}
Всего освобождено места : ,Espacio total liberado : 
Всего отослано: {} ({}/сек),Total enviado: {} ({}/seg)
Всего программ: {},Total de títulos: {}
Вставить,Insertar
Вставка...,Insertando...
Всё время. Всего: {} час,Todo el tiempo. Total: {} horas
Всё время. Всего: {} часа,Todo el tiempo. Total: {} horas
Всё время. Всего: {} часов,Todo el tiempo. Total: {} horas
Вы собираетесь удалить следующие бекапы:,Está a punto de eliminar las siguientes copias de seguridad:
Вы собираетесь удалить следующие игры:,Está a punto de eliminar los siguientes juegos:
Вы собираетесь удалить следующие сохранения:,Está a punto de eliminar los siguientes datos guardados:
Вы собираетесь удалить следующие тикеты:,Está a punto de eliminar los siguientes tickets:
Вы уверены в удалении {} записей?\n\n(+) - ДА   B - Отмена,¿Está seguro de que desea eliminar {} entradas?\n\n(+) - SÍ   B - Cancelar
Вы уверены в удалении {} записи?\n\n(+) - ДА   B - Отмена,¿Está seguro de que desea eliminar {} entrada?\n\n(+) - SÍ   B - Cancelar
Вы уверены в удалении {} объекта?\n\n(+) - ДА   B - Отмена,¿Está seguro de que desea eliminar {} objeto?\n\n(+) - SÍ   B - Cancelar
Вы уверены в удалении {} объектов?\n\n(+) - ДА   B - Отмена,¿Está seguro de que desea eliminar {} objetos?\n\n(+) - SÍ   B - Cancelar
    {:>2} сек,    {:>2} seg
 Закрытие игры, Cerrando juego
"Вы уверены, что хотите удалить {}?\n\n(+) - ДА, другая кнопка - НЕТ","¿Está seguro de que desea eliminar {}?\n\n(+) - SÍ, otro botón - NO"
