original,translation
Wireless LAN MAC адрес: {:02X}:{:02X}:{:02X}:{:02X}:{:02X}:{:02X},Indirizzo MAC LAN wireless: {:02X}:{:02X}:{:02X}:{:02X}:{:02X}:{:02X}
Файл повреждён и не может быть установлен. Не найдена сигнатура HFS0 в разделе secure,Il file è danneggiato e non può essere installato. Firma HFS0 non trovata nella partizione secure
Файл повреждён и не может быть установлен. Не найдена сигнатура PFS0,Il file è danneggiato e non può essere installato. Firma PFS0 non trovata
Файл слишком большой для хранилища,Il file è troppo grande per l'archiviazione
Файл: {},File: {}
Фиксация ФС...,Commit del file system...
Финальный размер: {},Dimensione finale: {}
Формирование списка...,Generazione lista...
Форсированный язык    : {},Lingua forzata    : {}
Форсированный язык    : {} ({}),Lingua forzata    : {} ({})
  Автоопределение,  Rilevamento automatico
Форсировано вклчение USB 3.0: {},Forza USB 3.0 abilitato: {}
Форсировать UTF-8,Forza UTF-8
Форсировать язык,Forza lingua
Французский,Francese
"Х:{}, Т:{}, РЦ:{}","H:{}, T:{}, R:{}"
Хранилища MTP,Archiviazione MTP
Хранилище только для чтения,Archiviazione di sola lettura
Хэш версии              : {},Hash della versione     : {}
Целевая запись о контенте не найдена,Record del contenuto di destinazione non trovato
ЧАСТЬ КОНТЕНТА ОТСУТСТВУЕТ. ИГРА НЕ БУДЕТ РАБОТАТЬ,PARTE DEL CONTENUTO MANCANTE. IL GIOCO NON FUNZIONERÀ
Число транзисторов: {:>3},Numero di transistor: {:>3}
Число уникальных сыграных игр : {},Numero di giochi unici giocati : {}
Число ходов:        {:>3},Numero di mosse:        {:>3}
Читать дату файлов,Leggi data file
Чтение каталога...,Lettura directory in corso...
Чтение списка файлов...,Lettura elenco file in corso...
Что-то плохое грядёт,Qualcosa di brutto sta arrivando
Что-то пошло не так. Пропускаем оставшийся файл,Qualcosa è andato storto. Saltando il file rimanente
"Чтобы вернуться, нажмите B",Premi B per tornare indietro
Шадок у Гиби,Shadok da Gibi
Шифрование секции ,Cifratura della sezione
Экзосфера очищает CAL0      : {},L'esosfera pulisce CAL0      : {}
Экран                 : ({:08X}) {},Schermo               : ({:08X}) {}
Экспорт SDK,Esportazione SDK
Экспортировать,Esporta
Экспортировать SDK,Esporta SDK
Это действие будет нельзя отменить,Questa azione non può essere annullata
Язык                    : {},Lingua                  : {}
Январь,Gennaio
Японский,Giapponese
Ярлык   : ,Collegamento   : 
Ярлык для DBI,Collegamento per DBI
"больше жертв, тем выше вероятность,","greatezza». O, in altre parole: «Più"
быстро разгадали тайный замысел,inviato un volontario dai vicini
"оцепили его там со всех сторон,",prendersi gioco. Permisero
"Или, говоря иными словами: «Чем",non sia pegno temporaneo di
"тактика буксует, но они твёрдо верят",probabilità che alla fine tutto
да,sì
при котором всё заработает… И они,credono fermamente in quella
"и теперь всякий раз, когда он",all'ospite di entrare in un
лишь временным залогом величия».,profonda: «Non esiste disgrazia che
"в тот один шанс из миллиона,","riesca». La loro tattica arranca, ma"
чтобы за ними пришла победа».,a commettere quei primi 999999
не является LFS папкой,non è una cartella LFS
не является LFS папкой игры,non è una cartella di gioco LFS
нет,no
"такой беды, которая не являлась бы",fondamentale della loro logica
"из своих складов с техникой, но",il piano segreto e decisero di
"999999 первых фатальных ошибок,",tutto funzionerà... E si affrettano
спешат поскорее совершить те самые,possibilità su un milione in cui
"Те, будучи хитрыми из-за интернетов,",nei giardini. Dalle paludi fu
прямиком к соседям за деталями.,chip direttamente da dispositivi
исправно принося отрицательный рост.,"di azzeramento continua, portando"
догмате их глубинной логики: «Нет,L'intero segreto risiede nel dogma
что в финале всё получится». Их,"vittime ci sono, più alta è la"
"прямо из техники, стоящей в садах.",sia nei sistemi di puntamento che
и решили всласть поглумиться. Они,"per i componenti. Quelli, astuti"
"ZL/ZR - смена даты, Y - период","ZL/ZR - cambia data, Y - periodo"
"видит чип, соседи его отбирают.»","magazzino, ma lo circondarono, e"
"падают, потому что чипов не хватает","Bunker, casa editrice «Specchio»."
"ни в системах наводки, ни в унитазах.",Il capo stratega ha dichiarato che
позволили гостю залезть в один,"grazie a internet, capirono subito"
"Получено: {}, (скорость не определена)","Ricevuto: {}, (velocità non definita)"
Игры добавлены в список исключений,Giochi aggiunti alla lista di esclusione
Новых игр в список исключений добавлено не было,Nessun nuovo gioco è stato aggiunto all'elenco di esclusione
"Интервал автобекапа сейвов, дни","Intervallo backup automatico salvataggi, giorni"
Просмотр МТР устройства [{}],Visualizzazione dispositivo MTP [{}]
Просмотр USB диска [{}],Visualizzazione disco USB [{}]
Заряд батареи (сырое значение) : {},Carica batteria (valore grezzo) : {}
ru,ru
Конфигурация зарядки            : {},Configurazione di ricarica            : {}
Режим Hi-Z включён              : {},Modalità Hi-Z attivata              : {}
Зарядка батареи включена        : {},Ricarica batteria attivata        : {}
Маршрут электропитания          : {},Percorso alimentazione          : {}
Напряжение источника            : {} mV,Tensione sorgente            : {} mV
Ток источника                   : {} mA,Corrente sorgente             : {} mA
Быстрая зарядка разрешена       : {},Ricarica rapida abilitata       : {}
[CRC ОШИБКА ФАЙЛА],[ERRORE CRC FILE]
Целевая прошивка            : {}.{}.{},Firmware di destinazione    : {}.{}.{}
Поддерживаемая версия HOS   : {},Versione HOS supportata   : {}
Будет скачана и установлена прошивка системы из файла {}.\n\nНажимте (+) для продолжения\nЛюбую другую кнопку для отмены,Il firmware di sistema verrà scaricato e installato dal file {}.\n\nPremi (+) per continuare\nQualsiasi altro tasto per annullare
Распаковка архива не удалась,Estrazione archivio fallita
Сканирование архива не удалось,Scansione archivio fallita
Установить все обновления из этой папки,Installa tutti gli aggiornamenti da questa cartella
Япония,Giappone
Русский,Russo
Февраль,Febbraio
Октябрь,Ottobre
[HASH MISMATCH: GC ➡ eShop],[HASH MISMATCH: GC ➡ eShop]
Ноябрь,Novembre
 {} минут, {} minuti
Игрок,Giocatore
Время,Tempo
Язык    : ,Lingua  : 
Контент,Contenuto
[HASH: OK],[HASH: OK]
Красная,Rossa
Путь    : ,Percorso :
И. И. Пиздоболов. Ритмы прорыва.,"errori fatali, affinché poi arrivi"
[HASH MISMATCH: Неисправимо],[HASH MISMATCH: Irrecuperabile]
[ПРЕД],[PREC]
Альбом,Album
Выход,Esci
и т.д...,ecc...
{} бекап,{} backup
874,874
Пишется тело: {}/{}MB \r,Scrittura corpo: {}/{}MB \r
Пишется скриншот\n,Scrittura screenshot\n
Пишется таблица хешей\n,Scrittura tabella hash\n
Пишется подпись видео\n,Scrittura firma video\n
Операция завершена\n,Operazione completata\n
Предел входного тока (буст)     : {} mA,Limite corrente in ingresso (boost)     : {} mA
Предел тока быстрой зарядки     : {} mA,Limite corrente di ricarica rapida     : {} mA
Напряжение батареи              : {} mV,Tensione batteria              : {} mV
Контроллер источника получен    : {},Controller sorgente ricevuto    : {}
OTG Запрошен                    : {},OTG richiesto                    : {}
"Будет скачана и установлена прошивка системы из файла {}.\n\nВНИМАНИЕ!!! Похоже, эта версия не поддерживается текущей атмосферой.\n\nНажимте (+) для продолжения\nЛюбую другую кнопку для отмены",Il firmware di sistema verrà scaricato e installato dal file {}.\n\nATTENZIONE!!! Sembra che questa versione non sia supportata dall'Atmosphere corrente.\n\nPremi (+) per continuare\nPremi un altro tasto per annullare
Копирование файла не удалось,Copia del file fallita
Daybreak.nro не найден,Daybreak.nro non trovato
Изображение добавлено в альбом,Immagine aggiunta all'album
Ошибка добавления изобржения в альбом: {},Errore durante l'aggiunta dell'immagine all'album: {}
Добавить в альбом,Aggiungi all'album
Анализ mp4 файла,Analisi del file mp4
Длительность: {},Durata: {}
ОШИБКА! Файл не содержит один видео трек,ERRORE! Il file non contiene un tracciato video
ОШИБКА! Файл не содержит один аудио трек,ERRORE! Il file non contiene una traccia audio
ОШИБКА! У видео трека неподдерживаемый кодек,ERRORE! La traccia video ha un codec non supportato
ОШИБКА! У аудио трека неподдерживаемый кодек,ERRORE! La traccia audio ha un codec non supportato
ОШИБКА! Аудио трек не стерео,ERRORE! La traccia audio non è stereo
[{}] Общий тикет для {},[{}] Ticket comune per {}
ОШИБКА! У аудио трека неподходящая частота дискретизации,ERRORE! La traccia audio ha una frequenza di campionamento non idonea
ОШИБКА! У видео трека неподходящая ширина,ERRORE! La traccia video ha una larghezza non idonea
ОШИБКА! У видео трека неподходящая высота,ERRORE! La traccia video ha un'altezza non idonea
ВНИМАНИЕ! Возможно видео поток содержит B-Frames. Файл может не воспроизводиться,ATTENZIONE! Il flusso video potrebbe contenere B-Frame. Il file potrebbe non essere riprodotto
"Похоже, это не MP4 файл",Sembra che questo non sia un file MP4
Открыть как RomFS,Apri come RomFS
\x1b[31;1mГ\x1b[37;1m,\x1b[31;1mГ\x1b[37;1m
\x1b[32;1mШ\x1b[37;1m,\x1b[32;1mШ\x1b[37;1m
Ваша SD карта является подделкой. Рекомендуется заменить SD карту на проверенную.,La tua scheda SD è contraffatta. Si consiglia di sostituire la scheda SD con una verificata.
[{}] Персональный тикет для {},[{}] Ticket personale per {}
Кажется ваша SD карта является подделкой.\n\nВозможны проблемы с установкой игр.\nВ этом случае рекомендуется заменить SD карту на проверенную.,"La tua scheda SD sembra essere contraffatta.\n\nPotrebbero verificarsi problemi con l'installazione dei giochi.\nIn questo caso, si consiglia di sostituire la scheda SD con una verificata."
Информация о SD карте,Informazioni sulla scheda SD
Производитель    : {:s} ({:02X}),Produttore      : {:s} ({:02X})
OEM ID           : {:s} ({:s}),OEM ID           : {:s} ({:s})
Имя продукта     : {:s},Nome prodotto     : {:s}
Ревизия продукта : {:s},Revisione prodotto : {:s}
Серийный номер   : {:s},Numero di serie  : {:s}
[ПОДПИСЬ: DBI],[FIRMA: DBI]
.    Время игры    \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,.    Tempo di gioco    \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
"ZL/ZR смена даты, Y период, X сортировка, (+) выбрать пользователя","ZL/ZR cambia data, Y periodo, X ordinamento, (+) seleziona utente"
[{}МБ] {}МБ из {}МБ ({:.2f} МБ/сек)\x1b[0K\r,[{}MB] {}MB di {}MB ({:.2f} MB/sec)\x1b[0K\r
"X выбор, Y обратить выбор, (+) меню, R3 сортировка, L3 запуск","X seleziona, Y inverti selezione, (+) menu, R3 ordina, L3 avvia"
Создать все известные ({}),Crea tutti i conosciuti ({})
"X выбор, Y обратить выбор, (+) меню, L3 запуск","X seleziona, Y inverti selezione, (+) menu, L3 avvia"
"DPAD или стики для перемещения, (+) Настройки","DPAD o stick per muoversi, (+) Impostazioni"
Просмотр HTTP/FTP/Github сервера...,Esplorazione server HTTP/FTP/Github...
"X выбор, Y обратить выбор, (+) меню, R3 сортировка","X seleziona, Y inverti selezione, (+) menu, R3 ordina"
"X выбор, Y обр. выбор, (+) меню","X seleziona, Y inverti selezione, (+) menu"
"X выбор, Y обратить выбор, A открыть, (-) 2ая панель, (+) меню","X seleziona, Y inverti selezione, A apri, (-) 2° pannello, (+) menu"
"X выбор, Y обр. выбор, ⬅/➡ смена панели, (-) закрыть, (+) меню","X seleziona, Y deseleziona, ⬅/➡ cambia pannello, (-) chiudi, (+) menu"
[ДЕЛЬТА ФРАГМЕНТ НЕ НУЖЕН],[FRAMMENTO DELTA NON NECESSARIO]
[КОНТЕНТ ОТСУТСТВУЕТ],[CONTENUTO MANCANTE]
[НЕ СОЗДАТЬ ПЛЕЙСХОЛДЕР],[NON CREARE SEGNAPOSTO]
[НЕДОСТАТОЧНО МЕСТА],[SPAZIO INSUFFICIENTE]
  Кодировка...,  Codifica...
[НЕИЗВЕСТНОЕ СЖАТИЕ],[COMPRESSIONE SCONOSCIUTA]
[ОТСУТСТВУЕТ],[MANCANTE]
[ОШБК],[ERRORE]
[ОШИБКА NCA MAGIC],[ERRORE NCA MAGIC]
[ОШИБКА ЗАПИСИ В ПЛЕЙСХОЛДЕР],[ERRORE DI SCRITTURA NEL SEGNAPOSTO]
[ОШИБКА РАСПАКОВКИ ZSTD: {}],[ERRORE DI DECOMPRESSIONE ZSTD: {}]
[ОШИБКА РАСПАКОВКИ],[ERRORE DI ESTRAZIONE]
[ОШИБКА],[ERRORE]
[ОШИБКА] Отсутствует URL списка обновлений,[ERRORE] URL dell'elenco aggiornamenti mancante
[ПЕРЕДАЧА OK],[TRASFERIMENTO OK]
  Применить,  Applica
[ПЕРЕДАЧА ПРЕРВАНА],[TRASFERIMENTO INTERROTTO]
[ПОВРЕЖДЁННЫЙ NCA],[NCA CORROTTO]
[ПОДПИСЬ: OK],[FIRMA: OK]
[ПОДПИСЬ: XCI➡NSP],[FIRMA: XCI➡NSP]
[ПОДПИСЬ: Поддельная],[FIRMA: Falsa]
[СТАРАЯ ПРОШИВКА],[FIRMWARE VECCHIO]
[ТРЕБУЕТСЯ РЕЖИМ ТАЙТЛА],[MODALITÀ TITOLO RICHIESTA]
[ФАЙЛ ПОВРЕЖДЁН],[FILE DANNEGGIATO]
[ХЕШ ИСПРАВЛЕН],[HASH CORRETTO]
  Редактирование,  Modifica
[ХЕШ НЕ СОВПАДАЕТ],[HASH NON CORRISPONDENTE]
\nНачало обработки dlc {}: {:016X},\nAvvio elaborazione DLC {}: {:016X}
\nНачало обработки программы {},\nAvvio elaborazione applicazione {}
\nНачало создания Data.nca,\nInizio creazione Data.nca
\nНачало создания Meta.nca,\nInizio creazione Meta.nca
\nОшибка USB обмена,\nErrore di trasferimento USB
\nСборка PFS0,\nCreazione PFS0
\nСборка RomFS,\nCostruzione RomFS
\nСекция 0,\nSezione 0
\nСекция 1,\nSezione 1
 (по времени игры), (per tempo di gioco)
\nСекция 2,\nSezione 2
\nСоздан NSP: {},\nNSP creato: {}
\nШифрование NCA,\nCrittografia NCA
{:04d} {} {:02d}. Всего: {} час,{:04d} {} {:02d}. Totale: {} ore
{:04d} {} {:02d}. Всего: {} часа,{:04d} {} {:02d}. Totale: {} ore
{:04d} {} {:02d}. Всего: {} часов,{:04d} {} {:02d}. Totale: {} ore
{:4d} {}. Всего: {} час,{:4d} {}. Totale: {} ore
{:4d} {}. Всего: {} часа,{:4d} {}. Totale: {} ore
{:4d} {}. Всего: {} часов,{:4d} {}. Totale: {} ore
 (по названию игры), (per nome del gioco)
{:4d}. Всего: {} час,{:4d}. Totale: {} ore
{:4d}. Всего: {} часа,{:4d}. Totale: {} ore
{:4d}. Всего: {} часов,{:4d}. Totale: {} ore
{:>3} {}{:<50}\x1b[37;1m {:>10},{:>3} {}{:<50}\x1b[37;1m {:>10}
{:>6} объектов обработано. {:>5} записей найдено...\r,{:>6} oggetti elaborati. {:>5} voci trovate...\r
{:>6}/{}kB уже скачано...\r,{:>6}/{}kB già scaricato...\r
{} cохранение,{} salvataggio
{} cохранений,{} salvato
{} cохранения,{} dati di salvataggio
 (по числу запусков), (per numero di avvii)
{} бекапа,{} backup
{} бекапов,{} backup
{} записей ({}),{} voci ({})
{} записи ({}),{} voci ({})
{} запись ({}),{} voce ({})
{} игр ({}),{} giochi ({})
{} игра ({}),{} gioco ({})
{} игры ({}),{} giochi ({})
{} сохранение,{} salvataggio
{} сохранений,{} salvataggi
{} сохранения,{} dati di salvataggio
{} тикет,{} ticket
{} тикета,{} ticket
{} тикетов,{} ticket
{}-{} FW:{}{} SDK:{},{}-{} FW:{}{} SDK:{}
"{}/{} MB (Ср: {:.1f} MB/sec, Тек: {:.1f} MB/sec) Ост. {:02d}:{:02d}      \r","{}/{} MB (Media: {:.1f} MB/s, Att: {:.1f} MB/s) Rim. {:02d}:{:02d}      \r"
"{}/{} МБ, {:.2f} МБ/сек","{}/{} MB, {:.2f} MB/sec"
{}: {} потерянная запись,{}: {} voce orfana
{}: {} потерянных записей,{}: {} voci perse
{}: {} потерянных записи,{}: {} voci perse
     {:<10} Шифрование: {} Размер установки: {}{:>10},     {:<10} Crittografia: {} Dimensione installazione: {}{:>10}
 [НЕ МОГУ ОТКРЫТЬ ФАЙЛ], [IMPOSSIBILE APRIRE IL FILE]
{}: {}/{} ({:.2f} МБ/сек),{}: {}/{} ({:.2f} MB/sec)
{}: {}/{} ({}%) ({:.2f} МБ/сек),{}: {}/{} ({}%) ({:.2f} MB/s)
{}: пропускается {}/{} ({:.2f} МБ/сек),{}: saltato {}/{} ({:.2f} MB/sec)
"{}\n\nВосстановление бекапа не удалось\n\nНажмите A - прервать, другая кнопка - продолжить","{}\n\nRipristino del backup non riuscito\n\nPremi A per interrompere, altro pulsante per continuare"
{}МБ из {}МБ ({:.2f} МБ/сек)\x1b[0K\r,{}MB di {}MB ({:.2f} MB/sec)\x1b[0K\r
«У жителей болот всё идёт по плану.,«Negli abitanti delle paludi tutto
Ёмкость с завода   : {} mAh,Capacità di fabbrica: {} mAh
АВТО,AUTO
Аватар установлен,Avatar impostato
Август,Agosto
Австралия,Australia
Автозапуск FTP: ,Avvio automatico FTP: 
Автозапуск MTP,Avvio automatico MTP
Автозапуск списка homebrew,Avvio automatico lista homebrew
Автоповтор кнопок при удержании,Ripetizione automatica pulsanti quando tenuti premuti
Автор   : ,Autore  : 
Агрументы для ярлыка,Argomenti collegamento
Адрес FTP сервера: {},Indirizzo server FTP: {}
Адрес HTTP сервера: {},Indirizzo del server HTTP: {}
 {:>5} часа, {:>5} ore
Альбом (0°),Album (0°)
Американский английский,Inglese americano
Апрель,Aprile
База этой игры не самодостаточна. Не забудьте установить обновление,La base di questo gioco non è autosufficiente. Non dimenticare di installare l'aggiornamento
Базовое хранилище: ,Memoria di base: 
Бекапы,Backup
Бекапы сохранений ({}),Backup dei dati di salvataggio ({})
Британский английский,Inglese britannico
 {:>5} часов, {:>5} ore
В альбоме найден {} объект,{} oggetto trovato nell'album
В альбоме найдено {} объекта,Trovati {} oggetti nell'album
В альбоме найдено {} объектов,{} oggetti trovati nell'album
В альбоме отсутствуют объекты,Nessun oggetto nell'album
В файле /switch/prod.keys отсутствуют необходимые ключи.\n\nЧасть функций программы будет недоступна.\n\nПерегрузитесь в Hekate и используйте Lockpick_RCM.bin пейлоад\nдля дампа ключей из SysNAND.,Le chiavi necessarie mancano nel file /switch/prod.keys.\n\nAlcune funzionalità dell'applicazione non saranno disponibili.\n\nRiavvia in Hekate e usa il payload Lockpick_RCM.bin\nper estrarre le chiavi da SysNAND.
ВНИМАНИЕ ,ATTENZIONE 
ВНИМАНИЕ! ,ATTENZIONE! 
ВНИМАНИЕ! Тайтл {:016X} не установлен,ATTENZIONE! Il titolo {:016X} non è installato
ВНИМАНИЕ! Установленная версия ({}) не совпадает с желаемой ({}),ATTENZIONE! La versione installata ({}) non corrisponde a quella desiderata ({})
ВО ВРЕМЯ ПЕРЕДАЧИ ФАЙЛА НАЙДЕНЫ ОШИБКИ. УСТАНОВКА ПРЕРВАНА,ERRORI RILEVATI DURANTE IL TRASFERIMENTO DEL FILE. INSTALLAZIONE INTERROTTA
 {} в чёрном списке., {} nella blacklist.
Введите URL сервера (HTTP или (S)FTP),Inserisci l'URL del server (HTTP o (S)FTP)
Введите агрументы для ярлыка или оставьте пустым,Inserisci argomenti per il collegamento o lascia vuoto
Введите желаемый номер страницы,Inserisci il numero di pagina desiderato
Введите новое имя,Inserisci nuovo nome
Введите новое имя каталога,Inserisci il nuovo nome della directory
Введите новое имя файла,Inserisci il nuovo nome del file
Введите номер DLC,Inserisci il numero DLC
Версия  : ,Versione: 
Версия {} [v{}],Versione {} [v{}]
Версия атмосферы            : {}.{}.{},Versione Atmosphere         : {}.{}.{}
Версия прошивки         : {}.{}.{}-{}.{},Versione firmware       : {}.{}.{}-{}.{}
Вместо пользователя {} использовать:,Usa al posto dell'utente {}:
Внимание! ,Attenzione! 
Внимание!\nНекоторые файлы были заблокированы и поэтому пропущены.,Attenzione!\nAlcuni file erano bloccati e quindi sono stati saltati.
Во время разбора\n\n{}\n\nвозникла следующая ошибка:\n\n{},Durante l'analisi di\n\n{}\n\nsi è verificato il seguente errore:\n\n{}
Во время установки тикетов были ошибки. Проверьте наличие ES сигпатчей,Si sono verificati errori durante l'installazione dei ticket. Verificare la presenza di sigpatch ES
Во время экспорта были ошибки,Si sono verificati errori durante l'esportazione
Возраст батареи                 : {}%,Età della batteria             : {}%
Возраст батареи                : {},Età della batteria            : {}
Возраст батареи                : {}%,Età della batteria                : {}%
 {} минута, {} minuto
Возрастной рейтинг,Classificazione per età
Восстановить,Ripristina
Восстановить бекап...,Ripristina backup...
Восстановить для...,Ripristina per...
Восстановить как бекап сохранения,Ripristina come backup del salvataggio
Восстановление бекапа,Ripristino backup
Восстановление не удалось,Ripristino fallito
Восстановление успешно,Ripristino riuscito
Восстановление: {},Ripristino: {}
 {} минуты, {} minuti
Время гашения экрана в секундах,Timeout di attenuazione dello schermo in secondi
Время игры: {:02}:{:02}:{:02},Tempo di gioco: {:02}:{:02}:{:02}
Время передачи {:d}:{:02d}:{:02d},Tempo di trasferimento {:d}:{:02d}:{:02d}
Все игровые сессии,Tutte le sessioni di gioco
Все игроки,Tutti i giocatori
Все объекты,Tutti gli oggetti
Все файлы в порядке,Tutti i file sono OK
Всего {} байт получен,{} byte ricevuti
Всего {} байт послан,{} byte inviati
Всего {} байта получено,{} byte ricevuti in totale
 Да, Sì
Всего {} байта послано,{} byte inviati
