original,translation
Удаление тайтла: [{}],Тайтлды өшіру: [{}]
Удаление тикетов ({}),Тикеттерді өшіру ({})
Удаление...,Өшіру...
TempC0                : {:04x},TempC0                      : {:04x}
Удалить,Өшіру
Удалить LFS,LFS өшіру
Удалить сохранения,Сақтауларды өшіру
Удалить старые бекапы,Ескі резервтік көшірмелерді өшіру
Удаляется {} из {}...,{} ішінен {} өшірілуде...
Удаляется {}...,{} өшірілуде...
Удаляется бекап ,Резервтік көшірме өшірілуде 
Удаляется запись о контенте...,Контент жазбасы өшірілуде...
Удаляется запись об игре...,Ойын жазбасы өшірілуде...
Удаляется игра и весь связанный контент,Ойын және оған қатысты барлық контент өшірілуде
Titlekey не может быть инициализирован,Titlekey инициализацияланбады
Удаляется папка LFS...,LFS қалтасы өшірілуде...
Удаляется пустая папка,Бос қалта өшірілуде
Удаляется сохранение {}...,{} сақтауы өшірілуде...
Удаляется старая запись о контенте...,Ескі контент жазбасы өшірілуде...
Удаляется старый cnmt.nca...,Ескі cnmt.nca файлын өшіру...
Удаляется тикет: {}...,Тикет өшірілуде: {}...
Удалять после установки :,Орнатқаннан кейін өшіру :
Удаляются все объекты из альбома для игры,Ойын альбомындағы барлық нысандар өшірілуде
Удаляются все сохранения для игры,Ойынның барлық сақтаулары өшірілуде
Удаляются сохранения...,Сақталған деректер өшірілуде...
"UID: {}, Ник: {}","UID: {}, Бүркеншік аты: {}"
Удалённые,Өшірілгендер
Удачный экспорт,Сәтті экспорт
Уделение старого тикета...,Ескі билетті жою...
Упаковка каталога в RomFS,Каталогты RomFS-ке бумалау
Упрощенный китайский,Жеңілдетілген қытай тілі
Уровень заряда батареи         : {},Батарея деңгейі                 : {}
Успешно разобран как PFS0 файл,PFS0 файлы ретінде сәтті талданды
Устанавливается {},{} орнатылуда
Установить как аватар...,Аватар ретінде орнату...
Установка,Орнату
URL для проверки обновлений,Жаңартуларды тексеру URL мекенжайы
Установка анлокера...,Unlocker орнатылуда...
Установка завершена,Орнату аяқталды
Установка игр (NAND),Ойындарды орнату (NAND)
Установка игр (SD Card),Ойындарды орнату (SD карта)
Установка игры завершена,Ойынды орнату аяқталды
Установка обновлений игр,Ойын жаңартуларын орнату
Установка прервана,Орнату тоқтатылды
Установка с картриджа,Картриджден орнату
Установка тайтлов ({}/{}),Тайтлдарды орнату ({}/{})
Установка через DBIbackend,DBIbackend арқылы орнату
USB Соединение,USB қосылымы
Установка ярлыка...,Жарлықты орнату...
Установлен,Орнатылды
Установленные,Орнатылған
Установленные homebrew,Орнатылған homebrew
Установленные homebrew ({}),Орнатылған homebrew ({})
Установленные игры,Орнатылған ойындар
Установленные тикеты,Орнатылған билеттер
Установленные тикеты ({}),Орнатылған билеттер ({})
Файл повреждён и не может быть установлен. Не найдена сигнатура HEAD,Файл зақымдалған және орнату мүмкін емес. HEAD қолтаңбасы табылмады
Файл повреждён и не может быть установлен. Не найдена сигнатура HFS0 в разделе root,Файл зақымдалған және орнату мүмкін емес. Root бөлімінде HFS0 қолтаңбасы табылмады
Wireless LAN MAC адрес : {:02X}:{:02X}:{:02X}:{:02X}:{:02X}:{:02X},Сымсыз LAN MAC мекенжайы : {:02X}:{:02X}:{:02X}:{:02X}:{:02X}:{:02X}
Файл повреждён и не может быть установлен. Не найдена сигнатура HFS0 в разделе secure,Файл зақымдалған және орнату мүмкін емес. Secure бөлімінде HFS0 қолтаңбасы табылмады
Файл повреждён и не может быть установлен. Не найдена сигнатура PFS0,Файл зақымдалған және орнату мүмкін емес. PFS0 қолтаңбасы табылмады
Файл слишком большой для хранилища,Файл сақтау орны үшін тым үлкен
Файл: {},Файл: {}
Фиксация ФС...,ФС тіркеу...
Финальный размер: {},Түпкілікті өлшемі: {}
Формирование списка...,Тізімді құру...
Форсированный язык    : {},Мәжбүрлі тіл    : {}
Форсированный язык    : {} ({}),Мәжбүрлі тіл    : {} ({})
  Автоопределение,  Автоанықтау
Форсировано вклчение USB 3.0 : {},USB 3.0 мәжбүрлі қосу           : {}
Форсировать UTF-8,UTF-8 мәжбүрлеу
Форсировать язык,Тілді мәжбүрлеу
Французский,Француз тілі
"Х:{}, Т:{}, РЦ:{}","H:{}, T:{}, R:{}"
Хранилища MTP,MTP қоймалары
Хранилище только для чтения,Тек оқуға арналған қойма
Хэш версии              : {},Нұсқа хэші               : {}
Целевая запись о контенте не найдена,Мақсатты мазмұн жазбасы табылмады
ЧАСТЬ КОНТЕНТА ОТСУТСТВУЕТ. ИГРА НЕ БУДЕТ РАБОТАТЬ,МАЗМҰН БӨЛІГІ ЖОҚ. ОЙЫН ЖҰМЫС ІСТЕМЕЙДІ
Число транзисторов: {:>3},Транзисторлар саны: {:>3}
Число уникальных сыграных игр : {},Ойналған бірегей ойындар саны : {}
Число ходов:        {:>3},Жүрістер саны:          {:>3}
Читать дату файлов,Файл күнін оқу
Чтение каталога...,Каталогты оқу...
Чтение списка файлов...,Файлдар тізімін оқу...
Что-то плохое грядёт,Жаман нәрсе келе жатыр
Что-то пошло не так. Пропускаем оставшийся файл,Бірдеңе дұрыс болмады. Қалған файлды өткізіп жіберу
"Чтобы вернуться, нажмите B",Кері қайту үшін B батырмасын басыңыз
Шадок у Гиби,Гибидегі Шадок
Шифрование секции ,Секцияны шифрлау
Экзосфера очищает CAL0       : {},Экзосфера CAL0 тазартуда        : {}
Экран                  : ({:08X}) {},Экран                    : ({:08X}) {}
Экспорт SDK,SDK экспорты
Экспортировать,Экспорттау
Экспортировать SDK,SDK-ны экспорттау
Язык                    : {},Тіл                      : {}
Январь,Қаңтар
Японский,Жапон
Ярлык   : ,Жарлық   : 
Ярлык для DBI,DBI үшін жарлық
да,иә
не является LFS папкой,LFS қалтасы емес
не является LFS папкой игры,ойынның LFS қалтасы емес
нет,жоқ
"ZL/ZR - смена даты, Y - период","ZL/ZR - күнді өзгерту, Y - кезең"
"Получено: {}, (скорость не определена)","Қабылданды: {}, (жылдамдығы анықталмаған)"
Игры добавлены в список исключений,Ойындар ерекшеліктер тізіміне қосылды
Новых игр в список исключений добавлено не было,Ерекшеліктер тізіміне жаңа ойындар қосылған жоқ
"Интервал автобекапа сейвов, дни","Сақтауды автоматты түрде сақтық көшірмелеу аралығы, күн"
Просмотр МТР устройства [{}],MTP құрылғысын қарау [{}]
Просмотр USB диска [{}],USB дискісін қарау [{}]
Заряд батареи (сырое значение) : {},Батарея заряды (шикі мән) : {}
ru,ru
Конфигурация зарядки             : {},Зарядтау конфигурациясы          : {}
Режим Hi-Z включён               : {},Hi-Z режимі қосулы               : {}
Зарядка батареи включена         : {},Батареяны зарядтау қосулы        : {}
Маршрут электропитания           : {},Қуат беру маршруты               : {}
Напряжение источника             : {} mV,Көз кернеуі                      : {} мВ
Ток источника                    : {} mA,Көз тогы                         : {} мА
Быстрая зарядка разрешена        : {},Жылдам зарядтауға рұқсат         : {}
[CRC ОШИБКА ФАЙЛА],[ФАЙЛ CRC ҚАТЕСІ]
Целевая прошивка             : {}.{}.{},Мақсатты микробағдарлама        : {}.{}.{}
Поддерживаемая версия HOS    : {},Қолдау көрсетілетін HOS нұсқасы : {}
Будет скачана и установлена прошивка системы из файла {}.\n\nНажимте (+) для продолжения\nЛюбую другую кнопку для отмены,Жүйе микробағдарламасы {} файлынан жүктеп алынады және орнатылады.\n\nЖалғастыру үшін (+) басыңыз\nБас тарту үшін кез келген басқа түймені басыңыз
Распаковка архива не удалась,Архивті шығару сәтсіз аяқталды
Сканирование архива не удалось,Архивті сканерлеу сәтсіз аяқталды
Установить все обновления из этой папки,Бұл қалтадан барлық жаңартуларды орнату
Япония,Жапония
Русский,Орыс тілі
Февраль,Ақпан
Октябрь,Қазан
[HASH MISMATCH: GC ➡ eShop],[HASH MISMATCH: GC ➡ eShop]
Ноябрь,Қараша
 {} минут, {} минут
Игрок,Ойыншы
Время,Уақыт
Язык    : ,Тіл     : 
Контент,Мазмұн
[HASH: OK],[HASH: OK]
Красная,Қызыл
Путь    : ,Жол :
[HASH MISMATCH: Неисправимо],[ХЭШ СӘЙКЕССІЗДІГІ: Қалпына келтіру мүмкін емес]
[ПРЕД],[АЛД]
Альбом,Альбом
Выход,Шығу
и т.д...,т.б...
{} бекап,{} сақтық көшірмесі
874,874
Пишется тело: {}/{}MB \r,Дене жазылуда: {}/{}МБ \r
Пишется скриншот\n,Скриншот жазылуда\n
Пишется таблица хешей\n,Хэш кестесі жазылуда\n
Пишется подпись видео\n,Бейне қолтаңбасы жазылуда\n
Операция завершена\n,Операция аяқталды\n
Предел входного тока (буст)      : {} mA,Кіріс тогының шегі (буст)        : {} мА
Предел тока быстрой зарядки      : {} mA,Жылдам зарядтау тогының шегі     : {} мА
Напряжение батареи               : {} mV,Батарея кернеуі                  : {} мВ
Контроллер источника получен     : {},Дереккөз контроллері алынды      : {}
OTG Запрошен                     : {},OTG сұралды                      : {}
"Будет скачана и установлена прошивка системы из файла {}.\n\nВНИМАНИЕ!!! Похоже, эта версия не поддерживается текущей атмосферой.\n\nНажимте (+) для продолжения\nЛюбую другую кнопку для отмены",Жүйе прошивкасы {} файлынан жүктеліп орнатылады.\n\nНАЗАР АУДАРЫҢЫЗ!!! Бұл нұсқа ағымдағы Atmosphere-мен қолдау көрсетілмейтін сияқты.\n\nЖалғастыру үшін (+) басыңыз\nБас тарту үшін кез келген басқа түймені басыңыз
Копирование файла не удалось,Файлды көшіру сәтсіз аяқталды
Daybreak.nro не найден,Daybreak.nro табылмады
Изображение добавлено в альбом,Сурет альбомға қосылды
Ошибка добавления изобржения в альбом: {},Суретті альбомға қосу қатесі: {}
Добавить в альбом,Альбомға қосу
Анализ mp4 файла,mp4 файлын талдау
Длительность: {},Ұзақтығы: {}
ОШИБКА! Файл не содержит один видео трек,ҚАТЕ! Файлде бір видео жол жоқ
ОШИБКА! Файл не содержит один аудио трек,ҚАТЕ! Файл құрамында бір аудио жол жоқ
ОШИБКА! У видео трека неподдерживаемый кодек,ҚАТЕ! Бейне трегінде қолдау көрсетілмейтін кодек бар
ОШИБКА! У аудио трека неподдерживаемый кодек,ҚАТЕ! Аудио жолында қолдау көрсетілмейтін кодек бар
ОШИБКА! Аудио трек не стерео,ҚАТЕ! Аудио жолы стерео емес
[{}] Общий тикет для {},[{}] {} үшін ортақ билет
ОШИБКА! У аудио трека неподходящая частота дискретизации,ҚАТЕ! Аудио жолының іріктеу жиілігі жарамсыз
ОШИБКА! У видео трека неподходящая ширина,ҚАТЕ! Бейне жолының ені жарамсыз
ОШИБКА! У видео трека неподходящая высота,ҚАТЕ! Бейне жолының биіктігі жарамсыз
ВНИМАНИЕ! Возможно видео поток содержит B-Frames. Файл может не воспроизводиться,НАЗАР АУДАРЫҢЫЗ! Бейне ағынында B-Frames болуы мүмкін. Файл ойнатылмауы мүмкін
"Похоже, это не MP4 файл",Бұл MP4 файлы емес сияқты
Открыть как RomFS,RomFS ретінде ашу
\x1b[31;1mГ\x1b[37;1m,\x1b[31;1mГ\x1b[37;1m
\x1b[32;1mШ\x1b[37;1m,\x1b[32;1mШ\x1b[37;1m
Ваша SD карта является подделкой. Рекомендуется заменить SD карту на проверенную.,Сіздің SD картаңыз жалған. SD картаны тексерілген картаға ауыстыру ұсынылады.
[{}] Персональный тикет для {},[{}] {} үшін жеке билет
Кажется ваша SD карта является подделкой.\n\nВозможны проблемы с установкой игр.\nВ этом случае рекомендуется заменить SD карту на проверенную.,Сіздің SD картаңыз жалған сияқты.\n\nОйындарды орнату кезінде мәселелер туындауы мүмкін.\nБұл жағдайда SD картаны тексерілгенге ауыстыру ұсынылады.
Информация о SD карте,SD картасы туралы ақпарат
Производитель    : {:s} ({:02X}),Өндіруші       : {:s} ({:02X})
OEM ID           : {:s} ({:s}),OEM ID         : {:s} ({:s})
Имя продукта     : {:s},Өнім атауы     : {:s}
Ревизия продукта : {:s},Өнім нұсқасы   : {:s}
Серийный номер   : {:s},Сериялық нөмір : {:s}
[ПОДПИСЬ: DBI],[ҚОЛТАҢБА: DBI]
.    Время игры    \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,.    Ойын уақыты    \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
"ZL/ZR смена даты, Y период, X сортировка, (+) выбрать пользователя","ZL/ZR күнді өзгерту, Y кезең, X сұрыптау, (+) пайдаланушыны таңдау"
[{}МБ] {}МБ из {}МБ ({:.2f} МБ/сек)\x1b[0K\r,[{}МБ] {}МБ {}МБ-тан ({:.2f} МБ/сек)\x1b[0K\r
"X выбор, Y обратить выбор, (+) меню, R3 сортировка, L3 запуск","X таңдау, Y таңдауды кері қайтару, (+) мәзір, R3 сұрыптау, L3 іске қосу"
Создать все известные ({}),Барлық белгілілерді жасау ({})
"X выбор, Y обратить выбор, (+) меню, L3 запуск","X таңдау, Y таңдауды кері қайтару, (+) мәзір, L3 іске қосу"
"DPAD или стики для перемещения, (+) Настройки","DPAD немесе стиктер жылжу үшін, (+) Параметрлер"
Просмотр HTTP/FTP/Github сервера...,HTTP/FTP/Github серверін шолу...
"X выбор, Y обратить выбор, (+) меню, R3 сортировка","X таңдау, Y таңдауды кері қайтару, (+) мәзір, R3 сұрыптау"
"X выбор, Y обр. выбор, (+) меню","X таңдау, Y таңдауды кері қайтару, (+) мәзір"
"X выбор, Y обратить выбор, A открыть, (-) 2ая панель, (+) меню","X таңдау, Y таңдауды кері қайтару, A ашу, (-) 2-панель, (+) мәзір"
"X выбор, Y обр. выбор, ⬅/➡ смена панели, (-) закрыть, (+) меню","X таңдау, Y таңдауды болдырмау, ⬅/➡ панельді ауыстыру, (-) жабу, (+) мәзір"
[ДЕЛЬТА ФРАГМЕНТ НЕ НУЖЕН],[ДЕЛЬТА ФРАГМЕНТІ ҚАЖЕТ ЕМЕС]
[КОНТЕНТ ОТСУТСТВУЕТ],[МАЗМҰН ЖОҚ]
[НЕ СОЗДАТЬ ПЛЕЙСХОЛДЕР],[ОРЫН ТОЛТЫРҒЫШТЫ ЖАСАМАУ]
[НЕДОСТАТОЧНО МЕСТА],[ЖЕР ЖЕТКІЛІКСІЗ]
  Кодировка...,  Кодтау...
[НЕИЗВЕСТНОЕ СЖАТИЕ],[БЕЛГІСІЗ СЫҒУ]
[ОТСУТСТВУЕТ],[ЖОҚ]
[ОШБК],[ҚАТЕ]
[ОШИБКА NCA MAGIC],[NCA MAGIC ҚАТЕСІ]
[ОШИБКА ЗАПИСИ В ПЛЕЙСХОЛДЕР],[ПЛЕЙСХОЛДЕРГЕ ЖАЗУ ҚАТЕСІ]
[ОШИБКА РАСПАКОВКИ ZSTD: {}],[ZSTD АШУ ҚАТЕСІ: {}]
[ОШИБКА РАСПАКОВКИ],[ТАРҚАТУ ҚАТЕСІ]
[ОШИБКА],[ҚАТЕ]
[ОШИБКА] Отсутствует URL списка обновлений,[ҚАТЕ] Жаңартулар тізімінің URL мекенжайы жоқ
[ПЕРЕДАЧА OK],[ТАСЫМАЛДАУ OK]
  Применить,  Қолдану
[ПЕРЕДАЧА ПРЕРВАНА],[ТАСЫМАЛДАУ ҮЗІЛДІ]
[ПОВРЕЖДЁННЫЙ NCA],[БҮЛІНГЕН NCA]
[ПОДПИСЬ: OK],[ҚОЛТАҢБА: OK]
[ПОДПИСЬ: XCI➡NSP],[ҚОЛТАҢБА: XCI➡NSP]
[ПОДПИСЬ: Поддельная],[ҚОЛ ҚОЙЫЛҒАН: Жалған]
[СТАРАЯ ПРОШИВКА],[ЕСКІ ПРОШИВКА]
[ТРЕБУЕТСЯ РЕЖИМ ТАЙТЛА],[ТАЙТЛ РЕЖИМІ ҚАЖЕТ]
[ФАЙЛ ПОВРЕЖДЁН],[ФАЙЛ БҮЛІНГЕН]
[ХЕШ ИСПРАВЛЕН],[ХЕШ ТҮЗЕТІЛДІ]
  Редактирование,  Өңдеу
[ХЕШ НЕ СОВПАДАЕТ],[ХЕШ СӘЙКЕС КЕЛМЕЙДІ]
\nНачало обработки dlc {}: {:016X},\nDLC өңдеуді бастау {}: {:016X}
\nНачало обработки программы {},\nҚолданбаны {} өңдеу басталды
\nНачало создания Data.nca,\nData.nca жасауды бастау
\nНачало создания Meta.nca,\nMeta.nca жасауды бастау
\nОшибка USB обмена,\nUSB алмасу қатесі
\nСборка PFS0,\nPFS0 құрастыру
\nСборка RomFS,\nRomFS құрастыру
\nСекция 0,\nБөлім 0
\nСекция 1,\nБөлім 1
 (по времени игры), (ойын уақыты бойынша)
\nСекция 2,\nБөлім 2
\nСоздан NSP: {},\nNSP жасалды: {}
\nШифрование NCA,\nNCA шифрлау
{:04d} {} {:02d}. Всего: {} час,{:04d} {} {:02d}. Барлығы: {} сағ
{:04d} {} {:02d}. Всего: {} часа,{:04d} {} {:02d}. Барлығы: {} сағат
{:04d} {} {:02d}. Всего: {} часов,{:04d} {} {:02d}. Барлығы: {} сағат
{:4d} {}. Всего: {} час,{:4d} {}. Барлығы: {} сағ
{:4d} {}. Всего: {} часа,{:4d} {}. Барлығы: {} сағат
{:4d} {}. Всего: {} часов,{:4d} {}. Барлығы: {} сағат
 (по названию игры), (ойын атауы бойынша)
{:4d}. Всего: {} час,{:4d}. Барлығы: {} сағ
{:4d}. Всего: {} часа,{:4d}. Барлығы: {} сағат
{:4d}. Всего: {} часов,{:4d}. Барлығы: {} сағат
{:>3} {}{:<50}\x1b[37;1m {:>10},{:>3} {}{:<50}\x1b[37;1m {:>10}
{:>6} объектов обработано. {:>5} записей найдено...\r,{:>6} объект өңделді. {:>5} жазба табылды...\r
{:>6}/{}kB уже скачано...\r,{:>6}/{}kB жүктеп алынды...\r
{} cохранение,{} сақтау
{} cохранений,{} сақталды
{} cохранения,{} сақтау деректері
 (по числу запусков), (іске қосу санына қарай)
{} бекапа,{} сақтық көшірме
{} бекапов,{} сақтық көшірмелер
{} записей ({}),{} жазба ({})
{} записи ({}),{} жазбалар ({})
{} запись ({}),{} жазба ({})
{} игр ({}),{} ойындар ({})
{} игра ({}),{} ойын ({})
{} игры ({}),{} ойындар ({})
{} сохранение,{} сақтау
{} сохранений,{} сақтаулар
{} сохранения,{} сақтау деректері
{} тикет,{} билет
{} тикета,{} билет
{} тикетов,{} билеттер
{}-{} FW:{}{} SDK:{},{}-{} FW:{}{} SDK:{}
"{}/{} MB (Ср: {:.1f} MB/sec, Тек: {:.1f} MB/sec) Ост. {:02d}:{:02d}      \r","{}/{} МБ (Орт: {:.1f} МБ/сек, Ағым: {:.1f} МБ/сек) Қалғ. {:02d}:{:02d}      \r"
"{}/{} МБ, {:.2f} МБ/сек","{}/{} МБ, {:.2f} МБ/сек"
{}: {} потерянная запись,{}: {} жетім жазба
{}: {} потерянных записей,{}: {} жоғалған жазбалар
{}: {} потерянных записи,{}: {} жоғалған жазба
     {:<10} Шифрование: {} Размер установки: {}{:>10},     {:<10} Шифрлау: {} Орнату өлшемі: {}{:>10}
 [НЕ МОГУ ОТКРЫТЬ ФАЙЛ], [ФАЙЛДЫ АШУ МҮМКІН ЕМЕС]
{}: {}/{} ({:.2f} МБ/сек),{}: {}/{} ({:.2f} МБ/сек)
{}: {}/{} ({}%) ({:.2f} МБ/сек),{}: {}/{} ({}%) ({:.2f} МБ/сек)
{}: пропускается {}/{} ({:.2f} МБ/сек),{}: өткізіліп жатыр {}/{} ({:.2f} МБ/сек)
"{}\n\nВосстановление бекапа не удалось\n\nНажмите A - прервать, другая кнопка - продолжить","{}\n\nСақтық көшірмені қалпына келтіру сәтсіз аяқталды\n\nA басыңыз - тоқтату, басқа түйме - жалғастыру"
{}МБ из {}МБ ({:.2f} МБ/сек)\x1b[0K\r,{}МБ / {}МБ ({:.2f} МБ/сек)\x1b[0K\r
Ёмкость с завода    : {} mAh,Зауыттық сыйымдылық   : {} mAh
АВТО,АВТО
Аватар установлен,Аватар орнатылды
Август,Тамыз
Австралия,Аустралия
Автозапуск FTP: ,FTP автоқосылу: 
Автозапуск MTP,MTP автоіске қосу
Автозапуск списка homebrew,Homebrew тізімін автоқосу
Автоповтор кнопок при удержании,Батырмаларды ұстап тұрғанда автоқайталау
Автор   : ,Автор   : 
Агрументы для ярлыка,Таңбаша аргументтері
Адрес FTP сервера: {},FTP серверінің мекенжайы: {}
Адрес HTTP сервера: {},HTTP сервер мекенжайы: {}
 {:>5} часа, {:>5} сағат
Альбом (0°),Альбом (0°)
Американский английский,Американдық ағылшын
Апрель,Сәуір
База этой игры не самодостаточна. Не забудьте установить обновление,Бұл ойынның базасы өзіне жеткіліксіз. Жаңартуды орнатуды ұмытпаңыз
Базовое хранилище: ,Негізгі сақтау орны: 
Бекапы,Сақтық көшірмелер
Бекапы сохранений ({}),Сақтау деректерінің сақтық көшірмелері ({})
Британский английский,Британдық ағылшын
 {:>5} часов, {:>5} сағат
В альбоме найден {} объект,Альбомда {} объект табылды
В альбоме найдено {} объекта,Альбомда {} объект табылды
В альбоме найдено {} объектов,Альбомда {} нысан табылды
В альбоме отсутствуют объекты,Альбомда объектілер жоқ
В файле /switch/prod.keys отсутствуют необходимые ключи.\n\nЧасть функций программы будет недоступна.\n\nПерегрузитесь в Hekate и используйте Lockpick_RCM.bin пейлоад\nдля дампа ключей из SysNAND.,/switch/prod.keys файлында қажетті кілттер жоқ.\n\nБағдарламаның кейбір функциялары қолжетімсіз болады.\n\nHekate-ке қайта жүктеңіз және Lockpick_RCM.bin пейлоадын пайдаланып\nSysNAND-тан кілттерді дамп жасаңыз.
ВНИМАНИЕ ,НАЗАР АУДАРЫҢЫЗ 
ВНИМАНИЕ! ,НАЗАР АУДАРЫҢЫЗ! 
ВНИМАНИЕ! Тайтл {:016X} не установлен,НАЗАР АУДАРЫҢЫЗ! Тайтл {:016X} орнатылмаған
ВНИМАНИЕ! Установленная версия ({}) не совпадает с желаемой ({}),НАЗАР АУДАРЫҢЫЗ! Орнатылған нұсқа ({}) қалаған нұсқамен ({}) сәйкес келмейді
ВО ВРЕМЯ ПЕРЕДАЧИ ФАЙЛА НАЙДЕНЫ ОШИБКИ. УСТАНОВКА ПРЕРВАНА,ФАЙЛ ТАСЫМАЛДАУ КЕЗІНДЕ ҚАТЕЛЕР ТАБЫЛДЫ. ОРНАТУ ТОҚТАТЫЛДЫ
 {} в чёрном списке., {} қара тізімде.
Введите URL сервера (HTTP или (S)FTP),Сервер URL мекенжайын енгізіңіз (HTTP немесе (S)FTP)
Введите агрументы для ярлыка или оставьте пустым,Таңбаша үшін аргументтерді енгізіңіз немесе бос қалдырыңыз
Введите желаемый номер страницы,Қалаған бет нөмірін енгізіңіз
Введите новое имя,Жаңа атауды енгізіңіз
Введите новое имя каталога,Жаңа каталог атын енгізіңіз
Введите новое имя файла,Жаңа файл атын енгізіңіз
Введите номер DLC,DLC нөмірін енгізіңіз
Версия  : ,Нұсқа   : 
Версия {} [v{}],Нұсқа {} [v{}]
Версия атмосферы             : {}.{}.{},Atmosphere нұсқасы              : {}.{}.{}
Версия прошивки         : {}.{}.{}-{}.{},Бағдарлама нұсқасы       : {}.{}.{}-{}.{}
Вместо пользователя {} использовать:,Пайдаланушы {} орнына пайдалану:
Внимание! ,Назар аударыңыз! 
Внимание!\nНекоторые файлы были заблокированы и поэтому пропущены.,"Назар аударыңыз!\nКейбір файлдар бұғатталған, сондықтан өткізіп жіберілді."
Во время разбора\n\n{}\n\nвозникла следующая ошибка:\n\n{},Талдау кезінде\n\n{}\n\nкелесі қате пайда болды:\n\n{}
Во время установки тикетов были ошибки. Проверьте наличие ES сигпатчей,Билеттерді орнату кезінде қателер пайда болды. ES сигпатчтарының бар-жоғын тексеріңіз
Во время экспорта были ошибки,Экспорт кезінде қателер болды
Возраст батареи                  : {}%,Батарея жасы                     : {}%
Возраст батареи                : {},Батарея жасы                    : {}
Возраст батареи                : {}%,Батарея жасы                : {}%
 {} минута, {} минут
