original,translation
Упаковка каталога в RomFS,Empacotando diretório em RomFS
Упрощенный китайский,Chinês simplificado
Уровень заряда батареи         : {},Nível da bateria               : {}
Успешно разобран как PFS0 файл,Analisado com sucesso como arquivo PFS0
Устанавливается {},Instalando {}
Установить как аватар...,Definir como avatar...
Установка,Instalação
URL для проверки обновлений,URL para verificar atualizações
Установка анлокера...,Instalando unlocker...
Установка завершена,Instalação concluída
Установка игр (NAND),Instalação de jogos (NAND)
Установка игр (SD Card),Instalação de jogos (Cartão SD)
Установка игры завершена,Instalação do jogo concluída
Установка обновлений игр,Instalar atualizações de jogos
Установка прервана,Instalação interrompida
Установка с картриджа,Instalar do cartucho
Установка тайтлов ({}/{}),Instalando títulos ({}/{})
Установка через DBIbackend,Instalar via DBIbackend
USB Соединение,Conexão USB
Установка ярлыка...,Instalando atalho...
Установлен,Instalado
Установленные,Instalados
Установленные homebrew,Homebrew instalado
Установленные homebrew ({}),Homebrew instalado ({})
Установленные игры,Jogos instalados
Установленные тикеты,Tickets instalados
Установленные тикеты ({}),Tickets instalados ({})
Файл повреждён и не может быть установлен. Не найдена сигнатура HEAD,O arquivo está corrompido e não pode ser instalado. Assinatura HEAD não encontrada
Файл повреждён и не может быть установлен. Не найдена сигнатура HFS0 в разделе root,O arquivo está corrompido e não pode ser instalado. Assinatura HFS0 não encontrada na partição root
Wireless LAN MAC адрес : {:02X}:{:02X}:{:02X}:{:02X}:{:02X}:{:02X},Endereço MAC da LAN sem fio : {:02X}:{:02X}:{:02X}:{:02X}:{:02X}:{:02X}
Файл повреждён и не может быть установлен. Не найдена сигнатура HFS0 в разделе secure,O arquivo está corrompido e não pode ser instalado. Assinatura HFS0 não encontrada na partição secure
Файл повреждён и не может быть установлен. Не найдена сигнатура PFS0,O arquivo está corrompido e não pode ser instalado. Assinatura PFS0 não encontrada
Файл слишком большой для хранилища,O arquivo é muito grande para o armazenamento
Файл: {},Arquivo: {}
Фиксация ФС...,Confirmação do sistema de arquivos...
Финальный размер: {},Tamanho final: {}
Формирование списка...,Gerando lista...
Форсированный язык    : {},Idioma forçado    : {}
Форсированный язык    : {} ({}),Idioma forçado    : {} ({})
  Автоопределение,  Detecção automática
Форсировано вклчение USB 3.0 : {},Forçar USB 3.0 ativado       : {}
Форсировать UTF-8,Forçar UTF-8
Форсировать язык,Forçar idioma
Французский,Francês
"Х:{}, Т:{}, РЦ:{}","H:{}, T:{}, R:{}"
Хранилища MTP,Armazenamento MTP
Хранилище только для чтения,Armazenamento somente leitura
Хэш версии              : {},Hash da versão           : {}
Целевая запись о контенте не найдена,Registro de conteúdo de destino não encontrado
ЧАСТЬ КОНТЕНТА ОТСУТСТВУЕТ. ИГРА НЕ БУДЕТ РАБОТАТЬ,PARTE DO CONTEÚDO ESTÁ FALTANDO. O JOGO NÃO VAI FUNCIONAR
Число транзисторов: {:>3},Número de transistores: {:>3}
Число уникальных сыграных игр : {},Número de jogos únicos jogados : {}
Число ходов:        {:>3},Número de movimentos:   {:>3}
Читать дату файлов,Ler data do arquivo
Чтение каталога...,Lendo diretório...
Чтение списка файлов...,Lendo lista de arquivos...
Что-то плохое грядёт,Algo ruim está vindo
Что-то пошло не так. Пропускаем оставшийся файл,Algo deu errado. Pulando o arquivo restante
"Чтобы вернуться, нажмите B",Pressione B para voltar
Шадок у Гиби,Shadok em Gibi
Шифрование секции ,Criptografia da seção
Экзосфера очищает CAL0       : {},A exosfera limpa CAL0        : {}
Экран                  : ({:08X}) {},Tela                        : ({:08X}) {}
Экспорт SDK,Exportação de SDK
Экспортировать,Exportar
Экспортировать SDK,Exportar SDK
Язык                    : {},Idioma                   : {}
Январь,Janeiro
Японский,Japonês
Ярлык   : ,Atalho   : 
Ярлык для DBI,Atalho para DBI
да,sim
не является LFS папкой,não é uma pasta LFS
не является LFS папкой игры,não é uma pasta de jogo LFS
нет,não
"ZL/ZR - смена даты, Y - период","ZL/ZR - alterar data, Y - período"
"Получено: {}, (скорость не определена)","Recebido: {}, (velocidade não definida)"
Игры добавлены в список исключений,Jogos adicionados à lista de exclusão
Новых игр в список исключений добавлено не было,Nenhum jogo novo foi adicionado à lista de exclusão
"Интервал автобекапа сейвов, дни","Intervalo de backup automático de saves, dias"
Просмотр МТР устройства [{}],Visualizando dispositivo MTP [{}]
Просмотр USB диска [{}],Visualizando unidade USB [{}]
Заряд батареи (сырое значение) : {},Carga da bateria (valor bruto) : {}
ru,ru
Конфигурация зарядки             : {},Configuração de carregamento              : {}
Режим Hi-Z включён               : {},Modo Hi-Z ativado                         : {}
Зарядка батареи включена         : {},Carregamento da bateria ativado           : {}
Маршрут электропитания           : {},Rota de alimentação                       : {}
Напряжение источника             : {} mV,Tensão da fonte                           : {} mV
Ток источника                    : {} mA,Corrente da fonte                         : {} mA
Быстрая зарядка разрешена        : {},Carregamento rápido ativado               : {}
[CRC ОШИБКА ФАЙЛА],[ERRO DE CRC DO ARQUIVO]
Целевая прошивка             : {}.{}.{},Firmware de destino          : {}.{}.{}
Поддерживаемая версия HOS    : {},Versão do HOS suportada      : {}
Будет скачана и установлена прошивка системы из файла {}.\n\nНажимте (+) для продолжения\nЛюбую другую кнопку для отмены,O firmware do sistema será baixado e instalado a partir do arquivo {}.\n\nPressione (+) para continuar\nQualquer outro botão para cancelar
Распаковка архива не удалась,Falha ao extrair o arquivo
Сканирование архива не удалось,Falha ao escanear o arquivo
Установить все обновления из этой папки,Instalar todas as atualizações desta pasta
Япония,Japão
Русский,Russo
Февраль,Fevereiro
Октябрь,Outubro
[HASH MISMATCH: GC ➡ eShop],[HASH MISMATCH: GC ➡ eShop]
Ноябрь,Novembro
 {} минут, {} minutos
Игрок,Jogador
Время,Tempo
Язык    : ,Idioma  : 
Контент,Conteúdo
[HASH: OK],[HASH: OK]
Красная,Vermelha
Путь    : ,Caminho :
[HASH MISMATCH: Неисправимо],[ERRO DE HASH: Irrecuperável]
[ПРЕД],[ANT]
Альбом,Álbum
Выход,Sair
и т.д...,etc...
{} бекап,{} backup
874,874
Пишется тело: {}/{}MB \r,Escrevendo corpo: {}/{}MB \r
Пишется скриншот\n,Escrevendo captura de tela\n
Пишется таблица хешей\n,Escrevendo tabela hash\n
Пишется подпись видео\n,Escrevendo assinatura de vídeo\n
Операция завершена\n,Operação concluída\n
Предел входного тока (буст)      : {} mA,Limite de corrente de entrada (boost)     : {} mA
Предел тока быстрой зарядки      : {} mA,Limite de corrente de carregamento rápido : {} mA
Напряжение батареи               : {} mV,Tensão da bateria                         : {} mV
Контроллер источника получен     : {},Controlador de fonte recebido             : {}
OTG Запрошен                     : {},OTG solicitado                            : {}
"Будет скачана и установлена прошивка системы из файла {}.\n\nВНИМАНИЕ!!! Похоже, эта версия не поддерживается текущей атмосферой.\n\nНажимте (+) для продолжения\nЛюбую другую кнопку для отмены",O firmware do sistema será baixado e instalado a partir do arquivo {}.\n\nATENÇÃO!!! Parece que esta versão não é suportada pelo Atmosphere atual.\n\nPressione (+) para continuar\nPressione qualquer outro botão para cancelar
Копирование файла не удалось,Falha ao copiar o arquivo
Daybreak.nro не найден,Daybreak.nro não encontrado
Изображение добавлено в альбом,Imagem adicionada ao álbum
Ошибка добавления изобржения в альбом: {},Erro ao adicionar imagem ao álbum: {}
Добавить в альбом,Adicionar ao álbum
Анализ mp4 файла,Analisando arquivo mp4
Длительность: {},Duração: {}
ОШИБКА! Файл не содержит один видео трек,ERRO! O arquivo não contém uma faixa de vídeo
ОШИБКА! Файл не содержит один аудио трек,ERRO! O arquivo não contém uma faixa de áudio
ОШИБКА! У видео трека неподдерживаемый кодек,ERRO! A faixa de vídeo tem um codec não suportado
ОШИБКА! У аудио трека неподдерживаемый кодек,ERRO! A faixa de áudio tem um codec não suportado
ОШИБКА! Аудио трек не стерео,ERRO! A faixa de áudio não é estéreo
[{}] Общий тикет для {},[{}] Ticket comum para {}
ОШИБКА! У аудио трека неподходящая частота дискретизации,ERRO! A faixa de áudio tem uma taxa de amostragem inadequada
ОШИБКА! У видео трека неподходящая ширина,ERRO! A faixa de vídeo tem uma largura inadequada
ОШИБКА! У видео трека неподходящая высота,ERRO! A faixa de vídeo tem uma altura inadequada
ВНИМАНИЕ! Возможно видео поток содержит B-Frames. Файл может не воспроизводиться,AVISO! O fluxo de vídeo pode conter B-Frames. O arquivo pode não ser reproduzido
"Похоже, это не MP4 файл",Parece que este não é um arquivo MP4
Открыть как RomFS,Abrir como RomFS
\x1b[31;1mГ\x1b[37;1m,\x1b[31;1mГ\x1b[37;1m
\x1b[32;1mШ\x1b[37;1m,\x1b[32;1mШ\x1b[37;1m
Ваша SD карта является подделкой. Рекомендуется заменить SD карту на проверенную.,Seu cartão SD é falsificado. Recomenda-se substituir o cartão SD por um verificado.
[{}] Персональный тикет для {},[{}] Ticket pessoal para {}
Кажется ваша SD карта является подделкой.\n\nВозможны проблемы с установкой игр.\nВ этом случае рекомендуется заменить SD карту на проверенную.,"Seu cartão SD parece ser falsificado.\n\nPodem ocorrer problemas com a instalação de jogos.\nNeste caso, recomenda-se substituir o cartão SD por um verificado."
Информация о SD карте,Informações do cartão SD
Производитель    : {:s} ({:02X}),Fabricante         : {:s} ({:02X})
OEM ID           : {:s} ({:s}),OEM ID             : {:s} ({:s})
Имя продукта     : {:s},Nome do produto    : {:s}
Ревизия продукта : {:s},Revisão do produto : {:s}
Серийный номер   : {:s},Número de série    : {:s}
[ПОДПИСЬ: DBI],[ASSINATURA: DBI]
.    Время игры    \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,.    Tempo de jogo    \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
"ZL/ZR смена даты, Y период, X сортировка, (+) выбрать пользователя","ZL/ZR mudar data, Y período, X ordenação, (+) selecionar usuário"
[{}МБ] {}МБ из {}МБ ({:.2f} МБ/сек)\x1b[0K\r,[{}MB] {}MB de {}MB ({:.2f} MB/seg)\x1b[0K\r
"X выбор, Y обратить выбор, (+) меню, R3 сортировка, L3 запуск","X selecionar, Y inverter seleção, (+) menu, R3 ordenar, L3 iniciar"
Создать все известные ({}),Criar todos os conhecidos ({})
"X выбор, Y обратить выбор, (+) меню, L3 запуск","X selecionar, Y inverter seleção, (+) menu, L3 iniciar"
"DPAD или стики для перемещения, (+) Настройки","DPAD ou sticks para mover, (+) Configurações"
Просмотр HTTP/FTP/Github сервера...,Navegando servidor HTTP/FTP/Github...
"X выбор, Y обратить выбор, (+) меню, R3 сортировка","X selecionar, Y inverter seleção, (+) menu, R3 ordenar"
"X выбор, Y обр. выбор, (+) меню","X selecionar, Y inverter seleção, (+) menu"
"X выбор, Y обратить выбор, A открыть, (-) 2ая панель, (+) меню","X selecionar, Y inverter seleção, A abrir, (-) 2º painel, (+) menu"
"X выбор, Y обр. выбор, ⬅/➡ смена панели, (-) закрыть, (+) меню","X selecionar, Y desselecionar, ⬅/➡ trocar painel, (-) fechar, (+) menu"
[ДЕЛЬТА ФРАГМЕНТ НЕ НУЖЕН],[FRAGMENTO DELTA NÃO NECESSÁRIO]
[КОНТЕНТ ОТСУТСТВУЕТ],[CONTEÚDO AUSENTE]
[НЕ СОЗДАТЬ ПЛЕЙСХОЛДЕР],[NÃO CRIAR ESPAÇO RESERVADO]
[НЕДОСТАТОЧНО МЕСТА],[ESPAÇO INSUFICIENTE]
  Кодировка...,  Codificando...
[НЕИЗВЕСТНОЕ СЖАТИЕ],[COMPRESSÃO DESCONHECIDA]
[ОТСУТСТВУЕТ],[AUSENTE]
[ОШБК],[ERRO]
[ОШИБКА NCA MAGIC],[ERRO NCA MAGIC]
[ОШИБКА ЗАПИСИ В ПЛЕЙСХОЛДЕР],[ERRO DE ESCRITA NO MARCADOR]
[ОШИБКА РАСПАКОВКИ ZSTD: {}],[ERRO DE DESCOMPRESSÃO ZSTD: {}]
[ОШИБКА РАСПАКОВКИ],[ERRO DE EXTRAÇÃO]
[ОШИБКА],[ERRO]
[ОШИБКА] Отсутствует URL списка обновлений,[ERRO] URL da lista de atualizações ausente
[ПЕРЕДАЧА OK],[TRANSFERÊNCIA OK]
  Применить,  Aplicar
[ПЕРЕДАЧА ПРЕРВАНА],[TRANSFERÊNCIA INTERROMPIDA]
[ПОВРЕЖДЁННЫЙ NCA],[NCA CORROMPIDO]
[ПОДПИСЬ: OK],[ASSINATURA: OK]
[ПОДПИСЬ: XCI➡NSP],[ASSINATURA: XCI➡NSP]
[ПОДПИСЬ: Поддельная],[ASSINATURA: Falsa]
[СТАРАЯ ПРОШИВКА],[FIRMWARE ANTIGO]
[ТРЕБУЕТСЯ РЕЖИМ ТАЙТЛА],[MODO DE TÍTULO NECESSÁRIO]
[ФАЙЛ ПОВРЕЖДЁН],[ARQUIVO CORROMPIDO]
[ХЕШ ИСПРАВЛЕН],[HASH CORRIGIDO]
  Редактирование,  Editando
[ХЕШ НЕ СОВПАДАЕТ],[HASH NÃO CORRESPONDE]
\nНачало обработки dlc {}: {:016X},\nIniciando processamento de DLC {}: {:016X}
\nНачало обработки программы {},\nIniciado processamento do aplicativo {}
\nНачало создания Data.nca,\nIniciando criação de Data.nca
\nНачало создания Meta.nca,\nIniciando criação de Meta.nca
\nОшибка USB обмена,\nErro de transferência USB
\nСборка PFS0,\nConstruindo PFS0
\nСборка RomFS,\nConstruindo RomFS
\nСекция 0,\nSeção 0
\nСекция 1,\nSeção 1
 (по времени игры), (por tempo de jogo)
\nСекция 2,\nSeção 2
\nСоздан NSP: {},\nNSP criado: {}
\nШифрование NCA,\nCriptografia NCA
{:04d} {} {:02d}. Всего: {} час,{:04d} {} {:02d}. Total: {} hrs
{:04d} {} {:02d}. Всего: {} часа,{:04d} {} {:02d}. Total: {} horas
{:04d} {} {:02d}. Всего: {} часов,{:04d} {} {:02d}. Total: {} horas
{:4d} {}. Всего: {} час,{:4d} {}. Total: {} hrs
{:4d} {}. Всего: {} часа,{:4d} {}. Total: {} horas
{:4d} {}. Всего: {} часов,{:4d} {}. Total: {} horas
 (по названию игры), (por nome do jogo)
{:4d}. Всего: {} час,{:4d}. Total: {} hrs
{:4d}. Всего: {} часа,{:4d}. Total: {} horas
{:4d}. Всего: {} часов,{:4d}. Total: {} horas
{:>3} {}{:<50}\x1b[37;1m {:>10},{:>3} {}{:<50}\x1b[37;1m {:>10}
{:>6} объектов обработано. {:>5} записей найдено...\r,{:>6} objetos processados. {:>5} entradas encontradas...\r
{:>6}/{}kB уже скачано...\r,{:>6}/{}kB já baixado...\r
{} cохранение,{} salvamento
{} cохранений,{} salvo
{} cохранения,{} dados salvos
 (по числу запусков), (por número de execuções)
{} бекапа,{} backup
{} бекапов,{} backups
{} записей ({}),{} entradas ({})
{} записи ({}),{} entradas ({})
{} запись ({}),{} entrada ({})
{} игр ({}),{} jogos ({})
{} игра ({}),{} jogo ({})
{} игры ({}),{} jogos ({})
{} сохранение,{} salvamento
{} сохранений,{} salvamentos
{} сохранения,{} dados salvos
{} тикет,{} ticket
{} тикета,{} tickets
{} тикетов,{} tickets
{}-{} FW:{}{} SDK:{},{}-{} FW:{}{} SDK:{}
"{}/{} MB (Ср: {:.1f} MB/sec, Тек: {:.1f} MB/sec) Ост. {:02d}:{:02d}      \r","{}/{} MB (Méd: {:.1f} MB/s, Atual: {:.1f} MB/s) Rest. {:02d}:{:02d}      \r"
"{}/{} МБ, {:.2f} МБ/сек","{}/{} MB, {:.2f} MB/seg"
{}: {} потерянная запись,{}: {} entrada órfã
{}: {} потерянных записей,{}: {} entradas perdidas
{}: {} потерянных записи,{}: {} entradas perdidas
     {:<10} Шифрование: {} Размер установки: {}{:>10},     {:<10} Criptografia: {} Tamanho da instalação: {}{:>10}
 [НЕ МОГУ ОТКРЫТЬ ФАЙЛ], [NÃO É POSSÍVEL ABRIR O ARQUIVO]
{}: {}/{} ({:.2f} МБ/сек),{}: {}/{} ({:.2f} MB/seg)
{}: {}/{} ({}%) ({:.2f} МБ/сек),{}: {}/{} ({}%) ({:.2f} MB/s)
{}: пропускается {}/{} ({:.2f} МБ/сек),{}: pulando {}/{} ({:.2f} MB/seg)
"{}\n\nВосстановление бекапа не удалось\n\nНажмите A - прервать, другая кнопка - продолжить","{}\n\nFalha ao restaurar o backup\n\nPressione A para cancelar, outro botão para continuar"
{}МБ из {}МБ ({:.2f} МБ/сек)\x1b[0K\r,{}MB de {}MB ({:.2f} MB/seg)\x1b[0K\r
Ёмкость с завода    : {} mAh,Capacidade de fábrica : {} mAh
АВТО,AUTO
Аватар установлен,Avatar definido
Август,Agosto
Австралия,Austrália
Автозапуск FTP: ,Início automático de FTP: 
Автозапуск MTP,Início automático de MTP
Автозапуск списка homebrew,Início automático da lista homebrew
Автоповтор кнопок при удержании,Repetição automática de botões ao manter pressionado
Автор   : ,Autor   : 
Агрументы для ярлыка,Argumentos do atalho
Адрес FTP сервера: {},Endereço do servidor FTP: {}
Адрес HTTP сервера: {},Endereço do servidor HTTP: {}
 {:>5} часа, {:>5} horas
Альбом (0°),Álbum (0°)
Американский английский,Inglês americano
Апрель,Abril
База этой игры не самодостаточна. Не забудьте установить обновление,A base deste jogo não é autossuficiente. Não se esqueça de instalar a atualização
Базовое хранилище: ,Armazenamento base: 
Бекапы,Backups
Бекапы сохранений ({}),Backups de dados salvos ({})
Британский английский,Inglês britânico
 {:>5} часов, {:>5} horas
В альбоме найден {} объект,{} objeto encontrado no álbum
В альбоме найдено {} объекта,Encontrados {} objetos no álbum
В альбоме найдено {} объектов,{} objetos encontrados no álbum
В альбоме отсутствуют объекты,Não há objetos no álbum
В файле /switch/prod.keys отсутствуют необходимые ключи.\n\nЧасть функций программы будет недоступна.\n\nПерегрузитесь в Hekate и используйте Lockpick_RCM.bin пейлоад\nдля дампа ключей из SysNAND.,As chaves necessárias estão faltando no arquivo /switch/prod.keys.\n\nAlguns recursos do aplicativo estarão indisponíveis.\n\nReinicie no Hekate e use o payload Lockpick_RCM.bin\npara extrair as chaves do SysNAND.
ВНИМАНИЕ ,ATENÇÃO 
ВНИМАНИЕ! ,ATENÇÃO! 
ВНИМАНИЕ! Тайтл {:016X} не установлен,ATENÇÃO! O título {:016X} não está instalado
ВНИМАНИЕ! Установленная версия ({}) не совпадает с желаемой ({}),ATENÇÃO! A versão instalada ({}) não corresponde à desejada ({})
ВО ВРЕМЯ ПЕРЕДАЧИ ФАЙЛА НАЙДЕНЫ ОШИБКИ. УСТАНОВКА ПРЕРВАНА,ERROS ENCONTRADOS DURANTE A TRANSFERÊNCIA DE ARQUIVO. INSTALAÇÃO CANCELADA
 {} в чёрном списке., {} na lista negra.
Введите URL сервера (HTTP или (S)FTP),Digite a URL do servidor (HTTP ou (S)FTP)
Введите агрументы для ярлыка или оставьте пустым,Insira argumentos para o atalho ou deixe vazio
Введите желаемый номер страницы,Digite o número da página desejada
Введите новое имя,Digite um novo nome
Введите новое имя каталога,Digite o novo nome do diretório
Введите новое имя файла,Digite o novo nome do arquivo
Введите номер DLC,Digite o número do DLC
Версия  : ,Versão  : 
Версия {} [v{}],Versão {} [v{}]
Версия атмосферы             : {}.{}.{},Versão do Atmosphere         : {}.{}.{}
Версия прошивки         : {}.{}.{}-{}.{},Versão do firmware       : {}.{}.{}-{}.{}
Вместо пользователя {} использовать:,Usar no lugar do usuário {}:
Внимание! ,Atenção! 
Внимание!\nНекоторые файлы были заблокированы и поэтому пропущены.,Atenção!\nAlguns arquivos estavam bloqueados e por isso foram ignorados.
Во время разбора\n\n{}\n\nвозникла следующая ошибка:\n\n{},Durante a análise de\n\n{}\n\nocorreu o seguinte erro:\n\n{}
Во время установки тикетов были ошибки. Проверьте наличие ES сигпатчей,Ocorreram erros durante a instalação de tickets. Verifique a presença de sigpatches ES
Во время экспорта были ошибки,Ocorreram erros durante a exportação
Возраст батареи                  : {}%,Idade da bateria                          : {}%
Возраст батареи                : {},Idade da bateria               : {}
Возраст батареи                : {}%,Idade da bateria                : {}%
 {} минута, {} minuto
Возрастной рейтинг,Classificação etária
Восстановить,Restaurar
Восстановить бекап...,Restaurar backup...
Восстановить для...,Restaurar para...
Восстановить как бекап сохранения,Restaurar como backup de save
Восстановление бекапа,Restaurando backup
Восстановление не удалось,Recuperação falhou
Восстановление успешно,Restauração bem-sucedida
Восстановление: {},Restaurando: {}
 {} минуты, {} minutos
Время гашения экрана в секундах,Tempo limite de escurecimento da tela em segundos
Время игры: {:02}:{:02}:{:02},Tempo de jogo: {:02}:{:02}:{:02}
Время передачи {:d}:{:02d}:{:02d},Tempo de transferência {:d}:{:02d}:{:02d}
Все игровые сессии,Todas as sessões de jogo
Все игроки,Todos os jogadores
Все объекты,Todos os objetos
Все файлы в порядке,Todos os arquivos estão OK
Всего {} байт получен,{} bytes recebidos
Всего {} байт послан,{} bytes enviados
Всего {} байта получено,{} bytes recebidos no total
 Да, Sim
Всего {} байта послано,{} bytes enviados
Всего {} байтов получено,{} bytes recebidos no total
Всего {} байтов послано,{} bytes enviados
Всего записей: {},Total de entradas: {}
Всего освобождено места : ,Espaço total liberado : 
Всего отослано: {} ({}/сек),Total enviado: {} ({}/seg)
Всего программ: {},Total de títulos: {}
Вставить,Inserir
Вставка...,Inserindo...
Всё время. Всего: {} час,Todo o tempo. Total: {} horas
Всё время. Всего: {} часа,Todo o tempo. Total: {} horas
Всё время. Всего: {} часов,Todo o tempo. Total: {} horas
Вы собираетесь удалить следующие бекапы:,Você está prestes a excluir os seguintes backups:
Вы собираетесь удалить следующие игры:,Você está prestes a excluir os seguintes jogos:
Вы собираетесь удалить следующие сохранения:,Você está prestes a excluir os seguintes dados salvos:
Вы собираетесь удалить следующие тикеты:,Você está prestes a excluir os seguintes tickets:
Вы уверены в удалении {} записей?\n\n(+) - ДА   B - Отмена,Tem certeza de que deseja excluir {} entradas?\n\n(+) - SIM   B - Cancelar
Вы уверены в удалении {} записи?\n\n(+) - ДА   B - Отмена,Tem certeza de que deseja excluir {} entrada?\n\n(+) - SIM   B - Cancelar
Вы уверены в удалении {} объекта?\n\n(+) - ДА   B - Отмена,Tem certeza de que deseja excluir {} objeto?\n\n(+) - SIM   B - Cancelar
Вы уверены в удалении {} объектов?\n\n(+) - ДА   B - Отмена,Tem certeza de que deseja excluir {} objetos?\n\n(+) - SIM   B - Cancelar
    {:>2} сек,    {:>2} seg
 Закрытие игры, Fechando jogo
"Вы уверены, что хотите удалить {}?\n\n(+) - ДА, другая кнопка - НЕТ","Tem certeza de que deseja excluir {}?\n\n(+) - SIM, outro botão - NÃO"
"Вы уверены, что хотите удалить\n{}?\n\n(+) - ДА  В - Отмена",Tem certeza de que deseja excluir\n{}?\n\n(+) - SIM  B - Cancelar
Выберите пользователя,Selecionar usuário
Выберите тип сохранения,Selecionar tipo de salvamento
