Found 2011 alignment issues

ACTIVITY_INFO        | be    | + 5 chars | Общее число игровых сессий    : {}...
ACTIVITY_INFO        | es419 | + 4 chars | Общее число игровых сессий    : {}...
ACTIVITY_INFO        | es419 | + 3 chars | RTC запущены (приблизительно) : {}...
ACTIVITY_INFO        | es419 | + 3 chars | Дата первого игрового события : {}...
ACTIVITY_INFO        | es419 | + 3 chars | Общее время запущенных игр    : {} часов...
ACTIVITY_INFO        | es419 | + 3 chars | Общее время активной игры     : {} часов...
ACTIVITY_INFO        | et    | + 3 chars | RTC запущены (приблизительно) : {}...
ACTIVITY_INFO        | et    | + 3 chars | Дата первого игрового события : {}...
ACTIVITY_INFO        | et    | + 3 chars | Общее время запущенных игр    : {} часов...
ACTIVITY_INFO        | et    | + 3 chars | Общее время активной игры     : {} часов...
ACTIVITY_INFO        | et    | + 3 chars | Общее число игровых сессий    : {}...
ACTIVITY_INFO        | fr    | + 4 chars | Общее время запущенных игр    : {} часов...
ACTIVITY_INFO        | fr    | + 4 chars | Общее время активной игры     : {} часов...
ACTIVITY_INFO        | fr    | + 3 chars | RTC запущены (приблизительно) : {}...
ACTIVITY_INFO        | fr    | + 3 chars | Дата первого игрового события : {}...
ACTIVITY_INFO        | fr    | + 3 chars | Общее число игровых сессий    : {}...
ACTIVITY_INFO        | frca  | + 4 chars | Общее время запущенных игр    : {} часов...
ACTIVITY_INFO        | frca  | + 4 chars | Общее время активной игры     : {} часов...
ACTIVITY_INFO        | frca  | + 3 chars | RTC запущены (приблизительно) : {}...
ACTIVITY_INFO        | frca  | + 3 chars | Дата первого игрового события : {}...
ACTIVITY_INFO        | frca  | + 3 chars | Общее число игровых сессий    : {}...
ACTIVITY_INFO        | it    | + 5 chars | Общее число игровых сессий    : {}...
ACTIVITY_INFO        | it    | + 4 chars | RTC запущены (приблизительно) : {}...
ACTIVITY_INFO        | it    | + 3 chars | Дата первого игрового события : {}...
ACTIVITY_INFO        | it    | + 1 chars | Общее время запущенных игр    : {} часов...
ACTIVITY_INFO        | it    | + 1 chars | Общее время активной игры     : {} часов...
ACTIVITY_INFO        | jp    | + 3 chars | RTC запущены (приблизительно) : {}...
ACTIVITY_INFO        | jp    | + 3 chars | Дата первого игрового события : {}...
ACTIVITY_INFO        | jp    | + 3 chars | Общее число игровых сессий    : {}...
ACTIVITY_INFO        | kk    | + 7 chars | Общее время активной игры     : {} часов...
ACTIVITY_INFO        | kk    | + 3 chars | RTC запущены (приблизительно) : {}...
ACTIVITY_INFO        | kk    | + 3 chars | Дата первого игрового события : {}...
ACTIVITY_INFO        | kk    | + 3 chars | Общее время запущенных игр    : {} часов...
ACTIVITY_INFO        | kk    | + 3 chars | Общее число игровых сессий    : {}...
ACTIVITY_INFO        | kr    | + 3 chars | RTC запущены (приблизительно) : {}...
ACTIVITY_INFO        | kr    | + 3 chars | Дата первого игрового события : {}...
ACTIVITY_INFO        | kr    | + 3 chars | Общее число игровых сессий    : {}...
ACTIVITY_INFO        | lt    | + 5 chars | Общее время запущенных игр    : {} часов...
ACTIVITY_INFO        | lt    | + 5 chars | Общее время активной игры     : {} часов...
ACTIVITY_INFO        | lt    | + 3 chars | RTC запущены (приблизительно) : {}...
ACTIVITY_INFO        | lt    | + 3 chars | Дата первого игрового события : {}...
ACTIVITY_INFO        | lt    | + 3 chars | Общее число игровых сессий    : {}...
ACTIVITY_INFO        | lv    | + 5 chars | Общее время запущенных игр    : {} часов...
ACTIVITY_INFO        | lv    | + 5 chars | Общее время активной игры     : {} часов...
ACTIVITY_INFO        | lv    | + 3 chars | RTC запущены (приблизительно) : {}...
ACTIVITY_INFO        | lv    | + 3 chars | Дата первого игрового события : {}...
ACTIVITY_INFO        | lv    | + 3 chars | Общее число игровых сессий    : {}...
ACTIVITY_INFO        | nl    | + 4 chars | Дата первого игрового события : {}...
ACTIVITY_INFO        | nl    | + 3 chars | RTC запущены (приблизительно) : {}...
ACTIVITY_INFO        | nl    | + 3 chars | Общее число игровых сессий    : {}...
ACTIVITY_INFO        | nl    | + 1 chars | Общее время запущенных игр    : {} часов...
ACTIVITY_INFO        | nl    | + 1 chars | Общее время активной игры     : {} часов...
ACTIVITY_INFO        | pl    | + 4 chars | Дата первого игрового события : {}...
ACTIVITY_INFO        | pl    | + 4 chars | Общее время запущенных игр    : {} часов...
ACTIVITY_INFO        | pl    | + 4 chars | Общее время активной игры     : {} часов...
ACTIVITY_INFO        | pl    | + 3 chars | RTC запущены (приблизительно) : {}...
ACTIVITY_INFO        | pl    | + 3 chars | Общее число игровых сессий    : {}...
ACTIVITY_INFO        | pt    | + 3 chars | RTC запущены (приблизительно) : {}...
ACTIVITY_INFO        | pt    | + 3 chars | Дата первого игрового события : {}...
ACTIVITY_INFO        | pt    | + 3 chars | Общее время запущенных игр    : {} часов...
ACTIVITY_INFO        | pt    | + 3 chars | Общее время активной игры     : {} часов...
ACTIVITY_INFO        | pt    | + 3 chars | Общее число игровых сессий    : {}...
ACTIVITY_INFO        | ptbr  | + 3 chars | RTC запущены (приблизительно) : {}...
ACTIVITY_INFO        | ptbr  | + 3 chars | Дата первого игрового события : {}...
ACTIVITY_INFO        | ptbr  | + 3 chars | Общее время запущенных игр    : {} часов...
ACTIVITY_INFO        | ptbr  | + 3 chars | Общее время активной игры     : {} часов...
ACTIVITY_INFO        | ptbr  | + 3 chars | Общее число игровых сессий    : {}...
ACTIVITY_INFO        | ua    | + 3 chars | RTC запущены (приблизительно) : {}...
ACTIVITY_INFO        | ua    | + 3 chars | Дата первого игрового события : {}...
ACTIVITY_INFO        | ua    | + 3 chars | Общее время запущенных игр    : {} часов...
ACTIVITY_INFO        | ua    | + 3 chars | Общее время активной игры     : {} часов...
ACTIVITY_INFO        | ua    | + 3 chars | Общее число игровых сессий    : {}...
ACTIVITY_INFO        | zhcn  | + 3 chars | RTC запущены (приблизительно) : {}...
ACTIVITY_INFO        | zhcn  | + 3 chars | Дата первого игрового события : {}...
ACTIVITY_INFO        | zhcn  | + 3 chars | Общее число игровых сессий    : {}...
ACTIVITY_INFO        | zhtw  | + 3 chars | RTC запущены (приблизительно) : {}...
ACTIVITY_INFO        | zhtw  | + 3 chars | Дата первого игрового события : {}...
ACTIVITY_INFO        | zhtw  | + 3 chars | Общее число игровых сессий    : {}...
AMS_INFO             | be    | + 5 chars | Версия атмосферы            : {}.{}.{}...
AMS_INFO             | be    | + 5 chars | Поколение ключа             : {}...
AMS_INFO             | be    | + 5 chars | Целевая прошивка            : {}.{}.{}...
AMS_INFO             | be    | + 5 chars | Git commit hash             : {:016X}...
AMS_INFO             | be    | + 5 chars | Есть исправление RCM бага   : {}...
AMS_INFO             | be    | + 5 chars | Экзосфера очищает CAL0      : {}...
AMS_INFO             | be    | + 5 chars | Запись в CAL0 разрешена     : {}...
AMS_INFO             | be    | + 5 chars | Emummc включён              : {}...
AMS_INFO             | be    | + 5 chars | Форсировано вклчение USB 3.0: {}...
AMS_INFO             | be    | + 5 chars | Поддерживаемая версия HOS   : {}...
AMS_INFO             | de    | + 5 chars | Версия атмосферы            : {}.{}.{}...
AMS_INFO             | de    | + 5 chars | Поколение ключа             : {}...
AMS_INFO             | de    | + 5 chars | Целевая прошивка            : {}.{}.{}...
AMS_INFO             | de    | + 5 chars | Git commit hash             : {:016X}...
AMS_INFO             | de    | + 5 chars | Есть исправление RCM бага   : {}...
AMS_INFO             | de    | + 5 chars | Экзосфера очищает CAL0      : {}...
AMS_INFO             | de    | + 5 chars | Запись в CAL0 разрешена     : {}...
AMS_INFO             | de    | + 5 chars | Emummc включён              : {}...
AMS_INFO             | de    | + 5 chars | Форсировано вклчение USB 3.0: {}...
AMS_INFO             | de    | + 5 chars | Поддерживаемая версия HOS   : {}...
AMS_INFO             | en    | + 5 chars | Версия атмосферы            : {}.{}.{}...
AMS_INFO             | en    | + 5 chars | Поколение ключа             : {}...
AMS_INFO             | en    | + 5 chars | Целевая прошивка            : {}.{}.{}...
AMS_INFO             | en    | + 5 chars | Git commit hash             : {:016X}...
AMS_INFO             | en    | + 5 chars | Есть исправление RCM бага   : {}...
AMS_INFO             | en    | + 5 chars | Экзосфера очищает CAL0      : {}...
AMS_INFO             | en    | + 5 chars | Запись в CAL0 разрешена     : {}...
AMS_INFO             | en    | + 5 chars | Emummc включён              : {}...
AMS_INFO             | en    | + 5 chars | Форсировано вклчение USB 3.0: {}...
AMS_INFO             | en    | + 5 chars | Поддерживаемая версия HOS   : {}...
AMS_INFO             | engb  | + 5 chars | Версия атмосферы            : {}.{}.{}...
AMS_INFO             | engb  | + 5 chars | Поколение ключа             : {}...
AMS_INFO             | engb  | + 5 chars | Целевая прошивка            : {}.{}.{}...
AMS_INFO             | engb  | + 5 chars | Git commit hash             : {:016X}...
AMS_INFO             | engb  | + 5 chars | Есть исправление RCM бага   : {}...
AMS_INFO             | engb  | + 5 chars | Экзосфера очищает CAL0      : {}...
AMS_INFO             | engb  | + 5 chars | Запись в CAL0 разрешена     : {}...
AMS_INFO             | engb  | + 5 chars | Emummc включён              : {}...
AMS_INFO             | engb  | + 5 chars | Форсировано вклчение USB 3.0: {}...
AMS_INFO             | engb  | + 5 chars | Поддерживаемая версия HOS   : {}...
AMS_INFO             | es    | + 5 chars | Версия атмосферы            : {}.{}.{}...
AMS_INFO             | es    | + 5 chars | Поколение ключа             : {}...
AMS_INFO             | es    | + 5 chars | Целевая прошивка            : {}.{}.{}...
AMS_INFO             | es    | + 5 chars | Git commit hash             : {:016X}...
AMS_INFO             | es    | + 5 chars | Есть исправление RCM бага   : {}...
AMS_INFO             | es    | + 5 chars | Экзосфера очищает CAL0      : {}...
AMS_INFO             | es    | + 5 chars | Запись в CAL0 разрешена     : {}...
AMS_INFO             | es    | + 5 chars | Emummc включён              : {}...
AMS_INFO             | es    | + 5 chars | Форсировано вклчение USB 3.0: {}...
AMS_INFO             | es    | + 5 chars | Поддерживаемая версия HOS   : {}...
AMS_INFO             | es419 | + 5 chars | Версия атмосферы            : {}.{}.{}...
AMS_INFO             | es419 | + 5 chars | Поколение ключа             : {}...
AMS_INFO             | es419 | + 5 chars | Целевая прошивка            : {}.{}.{}...
AMS_INFO             | es419 | + 5 chars | Git commit hash             : {:016X}...
AMS_INFO             | es419 | + 5 chars | Есть исправление RCM бага   : {}...
AMS_INFO             | es419 | + 5 chars | Экзосфера очищает CAL0      : {}...
AMS_INFO             | es419 | + 5 chars | Запись в CAL0 разрешена     : {}...
AMS_INFO             | es419 | + 5 chars | Emummc включён              : {}...
AMS_INFO             | es419 | + 5 chars | Форсировано вклчение USB 3.0: {}...
AMS_INFO             | es419 | + 5 chars | Поддерживаемая версия HOS   : {}...
AMS_INFO             | et    | + 5 chars | Версия атмосферы            : {}.{}.{}...
AMS_INFO             | et    | + 5 chars | Поколение ключа             : {}...
AMS_INFO             | et    | + 5 chars | Целевая прошивка            : {}.{}.{}...
AMS_INFO             | et    | + 5 chars | Git commit hash             : {:016X}...
AMS_INFO             | et    | + 5 chars | Есть исправление RCM бага   : {}...
AMS_INFO             | et    | + 5 chars | Экзосфера очищает CAL0      : {}...
AMS_INFO             | et    | + 5 chars | Запись в CAL0 разрешена     : {}...
AMS_INFO             | et    | + 5 chars | Emummc включён              : {}...
AMS_INFO             | et    | + 5 chars | Форсировано вклчение USB 3.0: {}...
AMS_INFO             | et    | + 5 chars | Поддерживаемая версия HOS   : {}...
AMS_INFO             | fr    | + 5 chars | Версия атмосферы            : {}.{}.{}...
AMS_INFO             | fr    | + 5 chars | Поколение ключа             : {}...
AMS_INFO             | fr    | + 5 chars | Целевая прошивка            : {}.{}.{}...
AMS_INFO             | fr    | + 5 chars | Git commit hash             : {:016X}...
AMS_INFO             | fr    | + 5 chars | Есть исправление RCM бага   : {}...
AMS_INFO             | fr    | + 5 chars | Экзосфера очищает CAL0      : {}...
AMS_INFO             | fr    | + 5 chars | Запись в CAL0 разрешена     : {}...
AMS_INFO             | fr    | + 5 chars | Emummc включён              : {}...
AMS_INFO             | fr    | + 5 chars | Форсировано вклчение USB 3.0: {}...
AMS_INFO             | fr    | + 5 chars | Поддерживаемая версия HOS   : {}...
AMS_INFO             | frca  | + 5 chars | Версия атмосферы            : {}.{}.{}...
AMS_INFO             | frca  | + 5 chars | Поколение ключа             : {}...
AMS_INFO             | frca  | + 5 chars | Целевая прошивка            : {}.{}.{}...
AMS_INFO             | frca  | + 5 chars | Git commit hash             : {:016X}...
AMS_INFO             | frca  | + 5 chars | Есть исправление RCM бага   : {}...
AMS_INFO             | frca  | + 5 chars | Экзосфера очищает CAL0      : {}...
AMS_INFO             | frca  | + 5 chars | Запись в CAL0 разрешена     : {}...
AMS_INFO             | frca  | + 5 chars | Emummc включён              : {}...
AMS_INFO             | frca  | + 5 chars | Форсировано вклчение USB 3.0: {}...
AMS_INFO             | frca  | + 5 chars | Поддерживаемая версия HOS   : {}...
AMS_INFO             | it    | + 5 chars | Версия атмосферы            : {}.{}.{}...
AMS_INFO             | it    | + 5 chars | Поколение ключа             : {}...
AMS_INFO             | it    | + 5 chars | Целевая прошивка            : {}.{}.{}...
AMS_INFO             | it    | + 5 chars | Git commit hash             : {:016X}...
AMS_INFO             | it    | + 5 chars | Есть исправление RCM бага   : {}...
AMS_INFO             | it    | + 5 chars | Экзосфера очищает CAL0      : {}...
AMS_INFO             | it    | + 5 chars | Запись в CAL0 разрешена     : {}...
AMS_INFO             | it    | + 5 chars | Emummc включён              : {}...
AMS_INFO             | it    | + 5 chars | Форсировано вклчение USB 3.0: {}...
AMS_INFO             | it    | + 5 chars | Поддерживаемая версия HOS   : {}...
AMS_INFO             | jp    | + 5 chars | Версия атмосферы            : {}.{}.{}...
AMS_INFO             | jp    | + 5 chars | Поколение ключа             : {}...
AMS_INFO             | jp    | + 5 chars | Целевая прошивка            : {}.{}.{}...
AMS_INFO             | jp    | + 5 chars | Git commit hash             : {:016X}...
AMS_INFO             | jp    | + 5 chars | Есть исправление RCM бага   : {}...
AMS_INFO             | jp    | + 5 chars | Экзосфера очищает CAL0      : {}...
AMS_INFO             | jp    | + 5 chars | Запись в CAL0 разрешена     : {}...
AMS_INFO             | jp    | + 5 chars | Emummc включён              : {}...
AMS_INFO             | jp    | + 5 chars | Форсировано вклчение USB 3.0: {}...
AMS_INFO             | jp    | + 5 chars | Поддерживаемая версия HOS   : {}...
AMS_INFO             | kk    | + 5 chars | Версия атмосферы            : {}.{}.{}...
AMS_INFO             | kk    | + 5 chars | Поколение ключа             : {}...
AMS_INFO             | kk    | + 5 chars | Целевая прошивка            : {}.{}.{}...
AMS_INFO             | kk    | + 5 chars | Git commit hash             : {:016X}...
AMS_INFO             | kk    | + 5 chars | Есть исправление RCM бага   : {}...
AMS_INFO             | kk    | + 5 chars | Экзосфера очищает CAL0      : {}...
AMS_INFO             | kk    | + 5 chars | Запись в CAL0 разрешена     : {}...
AMS_INFO             | kk    | + 5 chars | Emummc включён              : {}...
AMS_INFO             | kk    | + 5 chars | Форсировано вклчение USB 3.0: {}...
AMS_INFO             | kk    | + 5 chars | Поддерживаемая версия HOS   : {}...
AMS_INFO             | kr    | + 5 chars | Версия атмосферы            : {}.{}.{}...
AMS_INFO             | kr    | + 5 chars | Поколение ключа             : {}...
AMS_INFO             | kr    | + 5 chars | Целевая прошивка            : {}.{}.{}...
AMS_INFO             | kr    | + 5 chars | Git commit hash             : {:016X}...
AMS_INFO             | kr    | + 5 chars | Есть исправление RCM бага   : {}...
AMS_INFO             | kr    | + 5 chars | Экзосфера очищает CAL0      : {}...
AMS_INFO             | kr    | + 5 chars | Запись в CAL0 разрешена     : {}...
AMS_INFO             | kr    | + 5 chars | Emummc включён              : {}...
AMS_INFO             | kr    | + 5 chars | Форсировано вклчение USB 3.0: {}...
AMS_INFO             | kr    | + 5 chars | Поддерживаемая версия HOS   : {}...
AMS_INFO             | lt    | + 5 chars | Версия атмосферы            : {}.{}.{}...
AMS_INFO             | lt    | + 5 chars | Поколение ключа             : {}...
AMS_INFO             | lt    | + 5 chars | Целевая прошивка            : {}.{}.{}...
AMS_INFO             | lt    | + 5 chars | Git commit hash             : {:016X}...
AMS_INFO             | lt    | + 5 chars | Есть исправление RCM бага   : {}...
AMS_INFO             | lt    | + 5 chars | Экзосфера очищает CAL0      : {}...
AMS_INFO             | lt    | + 5 chars | Запись в CAL0 разрешена     : {}...
AMS_INFO             | lt    | + 5 chars | Emummc включён              : {}...
AMS_INFO             | lt    | + 5 chars | Форсировано вклчение USB 3.0: {}...
AMS_INFO             | lt    | + 5 chars | Поддерживаемая версия HOS   : {}...
AMS_INFO             | lv    | + 6 chars | Форсировано вклчение USB 3.0: {}...
AMS_INFO             | lv    | + 5 chars | Версия атмосферы            : {}.{}.{}...
AMS_INFO             | lv    | + 5 chars | Поколение ключа             : {}...
AMS_INFO             | lv    | + 5 chars | Целевая прошивка            : {}.{}.{}...
AMS_INFO             | lv    | + 5 chars | Git commit hash             : {:016X}...
AMS_INFO             | lv    | + 5 chars | Есть исправление RCM бага   : {}...
AMS_INFO             | lv    | + 5 chars | Экзосфера очищает CAL0      : {}...
AMS_INFO             | lv    | + 5 chars | Запись в CAL0 разрешена     : {}...
AMS_INFO             | lv    | + 5 chars | Emummc включён              : {}...
AMS_INFO             | lv    | + 5 chars | Поддерживаемая версия HOS   : {}...
AMS_INFO             | nl    | + 5 chars | Версия атмосферы            : {}.{}.{}...
AMS_INFO             | nl    | + 5 chars | Поколение ключа             : {}...
AMS_INFO             | nl    | + 5 chars | Целевая прошивка            : {}.{}.{}...
AMS_INFO             | nl    | + 5 chars | Git commit hash             : {:016X}...
AMS_INFO             | nl    | + 5 chars | Есть исправление RCM бага   : {}...
AMS_INFO             | nl    | + 5 chars | Экзосфера очищает CAL0      : {}...
AMS_INFO             | nl    | + 5 chars | Запись в CAL0 разрешена     : {}...
AMS_INFO             | nl    | + 5 chars | Emummc включён              : {}...
AMS_INFO             | nl    | + 5 chars | Форсировано вклчение USB 3.0: {}...
AMS_INFO             | nl    | + 5 chars | Поддерживаемая версия HOS   : {}...
AMS_INFO             | pl    | + 5 chars | Версия атмосферы            : {}.{}.{}...
AMS_INFO             | pl    | + 5 chars | Поколение ключа             : {}...
AMS_INFO             | pl    | + 5 chars | Целевая прошивка            : {}.{}.{}...
AMS_INFO             | pl    | + 5 chars | Git commit hash             : {:016X}...
AMS_INFO             | pl    | + 5 chars | Есть исправление RCM бага   : {}...
AMS_INFO             | pl    | + 5 chars | Экзосфера очищает CAL0      : {}...
AMS_INFO             | pl    | + 5 chars | Запись в CAL0 разрешена     : {}...
AMS_INFO             | pl    | + 5 chars | Emummc включён              : {}...
AMS_INFO             | pl    | + 5 chars | Форсировано вклчение USB 3.0: {}...
AMS_INFO             | pl    | + 5 chars | Поддерживаемая версия HOS   : {}...
AMS_INFO             | pt    | + 5 chars | Версия атмосферы            : {}.{}.{}...
AMS_INFO             | pt    | + 5 chars | Поколение ключа             : {}...
AMS_INFO             | pt    | + 5 chars | Целевая прошивка            : {}.{}.{}...
AMS_INFO             | pt    | + 5 chars | Git commit hash             : {:016X}...
AMS_INFO             | pt    | + 5 chars | Есть исправление RCM бага   : {}...
AMS_INFO             | pt    | + 5 chars | Экзосфера очищает CAL0      : {}...
AMS_INFO             | pt    | + 5 chars | Запись в CAL0 разрешена     : {}...
AMS_INFO             | pt    | + 5 chars | Emummc включён              : {}...
AMS_INFO             | pt    | + 5 chars | Форсировано вклчение USB 3.0: {}...
AMS_INFO             | pt    | + 5 chars | Поддерживаемая версия HOS   : {}...
AMS_INFO             | ptbr  | + 5 chars | Версия атмосферы            : {}.{}.{}...
AMS_INFO             | ptbr  | + 5 chars | Поколение ключа             : {}...
AMS_INFO             | ptbr  | + 5 chars | Целевая прошивка            : {}.{}.{}...
AMS_INFO             | ptbr  | + 5 chars | Git commit hash             : {:016X}...
AMS_INFO             | ptbr  | + 5 chars | Есть исправление RCM бага   : {}...
AMS_INFO             | ptbr  | + 5 chars | Экзосфера очищает CAL0      : {}...
AMS_INFO             | ptbr  | + 5 chars | Запись в CAL0 разрешена     : {}...
AMS_INFO             | ptbr  | + 5 chars | Emummc включён              : {}...
AMS_INFO             | ptbr  | + 5 chars | Форсировано вклчение USB 3.0: {}...
AMS_INFO             | ptbr  | + 5 chars | Поддерживаемая версия HOS   : {}...
AMS_INFO             | ua    | + 5 chars | Версия атмосферы            : {}.{}.{}...
AMS_INFO             | ua    | + 5 chars | Поколение ключа             : {}...
AMS_INFO             | ua    | + 5 chars | Целевая прошивка            : {}.{}.{}...
AMS_INFO             | ua    | + 5 chars | Git commit hash             : {:016X}...
AMS_INFO             | ua    | + 5 chars | Есть исправление RCM бага   : {}...
AMS_INFO             | ua    | + 5 chars | Экзосфера очищает CAL0      : {}...
AMS_INFO             | ua    | + 5 chars | Запись в CAL0 разрешена     : {}...
AMS_INFO             | ua    | + 5 chars | Emummc включён              : {}...
AMS_INFO             | ua    | + 5 chars | Форсировано вклчение USB 3.0: {}...
AMS_INFO             | ua    | + 5 chars | Поддерживаемая версия HOS   : {}...
AMS_INFO             | zhcn  | + 5 chars | Версия атмосферы            : {}.{}.{}...
AMS_INFO             | zhcn  | + 5 chars | Поколение ключа             : {}...
AMS_INFO             | zhcn  | + 5 chars | Целевая прошивка            : {}.{}.{}...
AMS_INFO             | zhcn  | + 5 chars | Git commit hash             : {:016X}...
AMS_INFO             | zhcn  | + 5 chars | Есть исправление RCM бага   : {}...
AMS_INFO             | zhcn  | + 5 chars | Экзосфера очищает CAL0      : {}...
AMS_INFO             | zhcn  | + 5 chars | Запись в CAL0 разрешена     : {}...
AMS_INFO             | zhcn  | + 5 chars | Emummc включён              : {}...
AMS_INFO             | zhcn  | + 5 chars | Форсировано вклчение USB 3.0: {}...
AMS_INFO             | zhcn  | + 5 chars | Поддерживаемая версия HOS   : {}...
AMS_INFO             | zhtw  | + 5 chars | Версия атмосферы            : {}.{}.{}...
AMS_INFO             | zhtw  | + 5 chars | Поколение ключа             : {}...
AMS_INFO             | zhtw  | + 5 chars | Целевая прошивка            : {}.{}.{}...
AMS_INFO             | zhtw  | + 5 chars | Git commit hash             : {:016X}...
AMS_INFO             | zhtw  | + 5 chars | Есть исправление RCM бага   : {}...
AMS_INFO             | zhtw  | + 5 chars | Экзосфера очищает CAL0      : {}...
AMS_INFO             | zhtw  | + 5 chars | Запись в CAL0 разрешена     : {}...
AMS_INFO             | zhtw  | + 5 chars | Emummc включён              : {}...
AMS_INFO             | zhtw  | + 5 chars | Форсировано вклчение USB 3.0: {}...
AMS_INFO             | zhtw  | + 5 chars | Поддерживаемая версия HOS   : {}...
BATTERY_CONTROLLER_INFO | be    | +12 chars | RCOMP0               : {:04x}...
BATTERY_CONTROLLER_INFO | be    | +12 chars | TempC0               : {:04x}...
BATTERY_CONTROLLER_INFO | be    | +12 chars | FullCap              : {:04x} ({} mAh)...
BATTERY_CONTROLLER_INFO | be    | +12 chars | FullCapNom           : {:04x} ({} mAh)...
BATTERY_CONTROLLER_INFO | be    | +12 chars | IavgEmpty            : {:04x}...
BATTERY_CONTROLLER_INFO | be    | +12 chars | QrTable00            : {:04x}...
BATTERY_CONTROLLER_INFO | be    | +12 chars | QrTable10            : {:04x}...
BATTERY_CONTROLLER_INFO | be    | +12 chars | QrTable20            : {:04x}...
BATTERY_CONTROLLER_INFO | be    | +12 chars | QrTable30            : {:04x}...
BATTERY_CONTROLLER_INFO | be    | +12 chars | Сумма %% заряд-разряд: {} (~{} 0-100 цик...
BATTERY_CONTROLLER_INFO | de    | +12 chars | RCOMP0               : {:04x}...
BATTERY_CONTROLLER_INFO | de    | +12 chars | TempC0               : {:04x}...
BATTERY_CONTROLLER_INFO | de    | +12 chars | FullCap              : {:04x} ({} mAh)...
BATTERY_CONTROLLER_INFO | de    | +12 chars | FullCapNom           : {:04x} ({} mAh)...
BATTERY_CONTROLLER_INFO | de    | +12 chars | IavgEmpty            : {:04x}...
BATTERY_CONTROLLER_INFO | de    | +12 chars | QrTable00            : {:04x}...
BATTERY_CONTROLLER_INFO | de    | +12 chars | QrTable10            : {:04x}...
BATTERY_CONTROLLER_INFO | de    | +12 chars | QrTable20            : {:04x}...
BATTERY_CONTROLLER_INFO | de    | +12 chars | QrTable30            : {:04x}...
BATTERY_CONTROLLER_INFO | de    | +12 chars | Сумма %% заряд-разряд: {} (~{} 0-100 цик...
BATTERY_CONTROLLER_INFO | en    | +12 chars | RCOMP0               : {:04x}...
BATTERY_CONTROLLER_INFO | en    | +12 chars | TempC0               : {:04x}...
BATTERY_CONTROLLER_INFO | en    | +12 chars | FullCap              : {:04x} ({} mAh)...
BATTERY_CONTROLLER_INFO | en    | +12 chars | FullCapNom           : {:04x} ({} mAh)...
BATTERY_CONTROLLER_INFO | en    | +12 chars | IavgEmpty            : {:04x}...
BATTERY_CONTROLLER_INFO | en    | +12 chars | QrTable00            : {:04x}...
BATTERY_CONTROLLER_INFO | en    | +12 chars | QrTable10            : {:04x}...
BATTERY_CONTROLLER_INFO | en    | +12 chars | QrTable20            : {:04x}...
BATTERY_CONTROLLER_INFO | en    | +12 chars | QrTable30            : {:04x}...
BATTERY_CONTROLLER_INFO | en    | +12 chars | Сумма %% заряд-разряд: {} (~{} 0-100 цик...
BATTERY_CONTROLLER_INFO | engb  | +12 chars | RCOMP0               : {:04x}...
BATTERY_CONTROLLER_INFO | engb  | +12 chars | TempC0               : {:04x}...
BATTERY_CONTROLLER_INFO | engb  | +12 chars | FullCap              : {:04x} ({} mAh)...
BATTERY_CONTROLLER_INFO | engb  | +12 chars | FullCapNom           : {:04x} ({} mAh)...
BATTERY_CONTROLLER_INFO | engb  | +12 chars | IavgEmpty            : {:04x}...
BATTERY_CONTROLLER_INFO | engb  | +12 chars | QrTable00            : {:04x}...
